ChargingStationId,ChargingStationName,Description,Paese,Stazione,X,Y,osservazioni GIS
3007,AIL - P1 - 35,,Muzzano,"AIL - P1 - 35, Muzzano",,,
3009,AIL - P1 - 37,,Muzzano,"AIL - P1 - 37, Muzzano",,,
5135,AIL - P1 - 45,,Muzzano,"AIL - P1 - 45, Muzzano",,,
5136,AIL - P1 - 46,,Muzzano,"AIL - P1 - 46, Muzzano",,,
5138,AIL - P1 - 48,,Muzzano,"AIL - P1 - 48, Muzzano",,,
5139,AIL - P1 - 49,,Muzzano,"AIL - P1 - 49, Muzzano",,,
5140,AIL - P1 - 50,,Muzzano,"AIL - P1 - 50, Muzzano",,,
2182,AIL - N2 - 21 - VIA ORT PRUVIN,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Novaggio,"AIL - N2 - 21 - VIA ORT PRUVIN, Novaggio",709754.954,96286.967,
1892,AIL - P1 - 07 - VIA PONTE CAPRIASCA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Origlio,"AIL - P1 - 07 - VIA PONTE CAPRIASCA, Origlio",716986.803,101278.206,
1947,AIL - N2 - 04 - VIA CANTONALE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Ponte Cremenaga,"AIL - N2 - 04 - VIA CANTONALE, Ponte Cremenaga",706191.559,94139.108,
3330,AIL - N2 - 36 - ALLA CHIESA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Ponte Tresa,"AIL - N2 - 36 - ALLA CHIESA, Ponte Tresa",710103.999,91854.616,
3327,AIL - N2 - 33 - VIA MONSIGNOR SESTI,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Riva San Vitale,"AIL - N2 - 33 - VIA MONSIGNOR SESTI, Riva San Vitale",719012.723,84571.508,
3329,AIL - N2 - 35 - VIA S. FELICE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Rovio,"AIL - N2 - 35 - VIA S. FELICE, Rovio",720162.173,87975.436,
1974,AIL - N2 - 07 - VIA CREMIGNONE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Sorengo,"AIL - N2 - 07 - VIA CREMIGNONE, Sorengo",715805.403,95668.122,
2867,AIL - N2 - 25 - VIA ALLA CAVA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Torricella-Taverne,"AIL - N2 - 25 - VIA ALLA CAVA, Torricella-Taverne",715475.494,102851.823,
2871,AIL - N2 - 29 - VIA INDUSTRIA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Torricella-Taverne,"AIL - N2 - 29 - VIA INDUSTRIA, Torricella-Taverne",715308.549,102243.81,
2013,AIL - N2 - 08 - VIA PREE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Vernate,"AIL - N2 - 08 - VIA PREE, Vernate",712061.634,94569.88,
3328,AIL - N2 - 34 - VIA DALDINI,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Vezia,"AIL - N2 - 34 - VIA DALDINI, Vezia",715988.688,97915.729,
