"Fahrt: Name","Ausleihdauer","Kunden Gruppe"
"1226577","bis 5 min","B2B"
"1097733","bis 5 min","B2B"
"1255682","bis 5 min","B2B"
"991162","bis 5 min","B2B"
"1227237","bis 5 min","B2B"
"1097830","bis 5 min","B2B"
"1255733","bis 5 min","B2B"
"1132131","bis 5 min","B2B"
"1227428","bis 5 min","B2B"
"1097959","bis 5 min","B2B"
"1255931","bis 5 min","B2B"
"1132179","bis 5 min","B2B"
"1227629","bis 5 min","B2B"
"1098198","bis 5 min","B2B"
"1256140","bis 5 min","B2B"
"1132289","bis 5 min","B2B"
"1228000","bis 5 min","B2B"
"1098550","bis 5 min","B2B"
"1256807","bis 5 min","B2B"
"1132290","bis 5 min","B2B"
"1228112","bis 5 min","B2B"
"1098878","bis 5 min","B2B"
"1257674","bis 5 min","B2B"
"1132292","bis 5 min","B2B"
"1230067","bis 5 min","B2B"
"1099043","bis 5 min","B2B"
"1257706","bis 5 min","B2B"
"1132331","bis 5 min","B2B"
"1230296","bis 5 min","B2B"
"1099827","bis 5 min","B2B"
"1257989","bis 5 min","B2B"
"1132348","bis 5 min","B2B"
"1230667","bis 5 min","B2B"
"1099867","bis 5 min","B2B"
"1258445","bis 5 min","B2B"
"1132603","bis 5 min","B2B"
"1231750","bis 5 min","B2B"
"1100297","bis 5 min","B2B"
"1258740","bis 5 min","B2B"
"1134452","bis 5 min","B2B"
"1232086","bis 5 min","B2B"
"1100349","bis 5 min","B2B"
"1259997","bis 5 min","B2B"
"1134505","bis 5 min","B2B"
"1232364","bis 5 min","B2B"
"1100481","bis 5 min","B2B"
"1260705","bis 5 min","B2B"
"1135510","bis 5 min","B2B"
"1232449","bis 5 min","B2B"
"1100735","bis 5 min","B2B"
"1261746","bis 5 min","B2B"
"1135676","bis 5 min","B2B"
"1233759","bis 5 min","B2B"
"1101007","bis 5 min","B2B"
"1261949","bis 5 min","B2B"
"1136037","bis 5 min","B2B"
"1234388","bis 5 min","B2B"
"1106279","bis 5 min","B2B"
"1262115","bis 5 min","B2B"
"1138737","bis 5 min","B2B"
"1236598","bis 5 min","B2B"
"1106628","bis 5 min","B2B"
"1263236","bis 5 min","B2B"
"1138777","bis 5 min","B2B"
"1239375","bis 5 min","B2B"
"1107667","bis 5 min","B2B"
"1264599","bis 5 min","B2B"
"1142665","bis 5 min","B2B"
"1240375","bis 5 min","B2B"
"1108774","bis 5 min","B2B"
"1266614","bis 5 min","B2B"
"1142692","bis 5 min","B2B"
"1244155","bis 5 min","B2B"
"1108861","bis 5 min","B2B"
"1266637","bis 5 min","B2B"
"1143032","bis 5 min","B2B"
"1244482","bis 5 min","B2B"
"1109319","bis 5 min","B2B"
"1267579","bis 5 min","B2B"
"1143357","bis 5 min","B2B"
"1246096","bis 5 min","B2B"
"1109718","bis 5 min","B2B"
"1267774","bis 5 min","B2B"
"1143801","bis 5 min","B2B"
"1246677","bis 5 min","B2B"
"1110028","bis 5 min","B2B"
"1268170","bis 5 min","B2B"
"1145365","bis 5 min","B2B"
"1246908","bis 5 min","B2B"
"1110069","bis 5 min","B2B"
"1268303","bis 5 min","B2B"
"1145829","bis 5 min","B2B"
"1247821","bis 5 min","B2B"
"1111355","bis 5 min","B2B"
"1268320","bis 5 min","B2B"
"1146618","bis 5 min","B2B"
"1248138","bis 5 min","B2B"
"1111923","bis 5 min","B2B"
"1270021","bis 5 min","B2B"
"1146679","bis 5 min","B2B"
"1248164","bis 5 min","B2B"
"1112085","bis 5 min","B2B"
"1270025","bis 5 min","B2B"
"1146743","bis 5 min","B2B"
"1248426","bis 5 min","B2B"
"1112103","bis 5 min","B2B"
"1271488","bis 5 min","B2B"
"1146962","bis 5 min","B2B"
"1248921","bis 5 min","B2B"
"1112128","bis 5 min","B2B"
"1271627","bis 5 min","B2B"
"1147392","bis 5 min","B2B"
"1248949","bis 5 min","B2B"
"1112760","bis 5 min","B2B"
"1272838","bis 5 min","B2B"
"1147537","bis 5 min","B2B"
"1249947","bis 5 min","B2B"
"1113575","bis 5 min","B2B"
"1275064","bis 5 min","B2B"
"1147557","bis 5 min","B2B"
"1249986","bis 5 min","B2B"
"1114304","bis 5 min","B2B"
"1275209","bis 5 min","B2B"
"1148032","bis 5 min","B2B"
"1250069","bis 5 min","B2B"
"1114356","bis 5 min","B2B"
"1275432","bis 5 min","B2B"
"1148208","bis 5 min","B2B"
"1250112","bis 5 min","B2B"
"1114658","bis 5 min","B2B"
"1276452","bis 5 min","B2B"
"1148359","bis 5 min","B2B"
"1250242","bis 5 min","B2B"
"1114692","bis 5 min","B2B"
"1277319","bis 5 min","B2B"
"1148569","bis 5 min","B2B"
"1251599","bis 5 min","B2B"
"1115433","bis 5 min","B2B"
"1277527","bis 5 min","B2B"
"1148693","bis 5 min","B2B"
"1251674","bis 5 min","B2B"
"1115471","bis 5 min","B2B"
"1278171","bis 5 min","B2B"
"1148715","bis 5 min","B2B"
"1251723","bis 5 min","B2B"
"1116723","bis 5 min","B2B"
"1278442","bis 5 min","B2B"
"1148843","bis 5 min","B2B"
"1252359","bis 5 min","B2B"
"1117132","bis 5 min","B2B"
"1278597","bis 5 min","B2B"
"1148932","bis 5 min","B2B"
"1252540","bis 5 min","B2B"
"1119121","bis 5 min","B2B"
"1278843","bis 5 min","B2B"
"1148998","bis 5 min","B2B"
"995938","bis 5 min","B2B"
"1119212","bis 5 min","B2B"
"1280078","bis 5 min","B2B"
"1149206","bis 5 min","B2B"
"997564","bis 5 min","B2B"
"1119641","bis 5 min","B2B"
"1280334","bis 5 min","B2B"
"1149277","bis 5 min","B2B"
"998097","bis 5 min","B2B"
"1120065","bis 5 min","B2B"
"1281161","bis 5 min","B2B"
"1150157","bis 5 min","B2B"
"998994","bis 5 min","B2B"
"1120277","bis 5 min","B2B"
"1281710","bis 5 min","B2B"
"1151212","bis 5 min","B2B"
"999339","bis 5 min","B2B"
"1120300","bis 5 min","B2B"
"1282289","bis 5 min","B2B"
"1152160","bis 5 min","B2B"
"1000202","bis 5 min","B2B"
"1120305","bis 5 min","B2B"
"1283452","bis 5 min","B2B"
"1154487","bis 5 min","B2B"
"1000412","bis 5 min","B2B"
"1120950","bis 5 min","B2B"
"1283500","bis 5 min","B2B"
"1155584","bis 5 min","B2B"
"1001155","bis 5 min","B2B"
"1121399","bis 5 min","B2B"
"1286011","bis 5 min","B2B"
"1156217","bis 5 min","B2B"
"1001260","bis 5 min","B2B"
"1122396","bis 5 min","B2B"
"1286284","bis 5 min","B2B"
"1156323","bis 5 min","B2B"
"1001284","bis 5 min","B2B"
"1122494","bis 5 min","B2B"
"1286487","bis 5 min","B2B"
"1156358","bis 5 min","B2B"
"1003515","bis 5 min","B2B"
"1123873","bis 5 min","B2B"
"1288193","bis 5 min","B2B"
"1156692","bis 5 min","B2B"
"1003801","bis 5 min","B2B"
"1124240","bis 5 min","B2B"
"1291937","bis 5 min","B2B"
"1156902","bis 5 min","B2B"
"1005248","bis 5 min","B2B"
"1125578","bis 5 min","B2B"
"1292448","bis 5 min","B2B"
"1157457","bis 5 min","B2B"
"1005684","bis 5 min","B2B"
"1125703","bis 5 min","B2B"
"1292699","bis 5 min","B2B"
"1157676","bis 5 min","B2B"
"1005779","bis 5 min","B2B"
"1125940","bis 5 min","B2B"
"1292889","bis 5 min","B2B"
"1159776","bis 5 min","B2B"
"1006455","bis 5 min","B2B"
"1126478","bis 5 min","B2B"
"1293042","bis 5 min","B2B"
"1162578","bis 5 min","B2B"
"1006461","bis 5 min","B2B"
"1126586","bis 5 min","B2B"
"1293570","bis 5 min","B2B"
"1163383","bis 5 min","B2B"
"1006652","bis 5 min","B2B"
"1126871","bis 5 min","B2B"
"1293708","bis 5 min","B2B"
"1163901","bis 5 min","B2B"
"1006752","bis 5 min","B2B"
"1127097","bis 5 min","B2B"
"1293809","bis 5 min","B2B"
"1164306","bis 5 min","B2B"
"1007922","bis 5 min","B2B"
"1127125","bis 5 min","B2B"
"1297366","bis 5 min","B2B"
"1164436","bis 5 min","B2B"
"1008075","bis 5 min","B2B"
"1129926","bis 5 min","B2B"
"1297705","bis 5 min","B2B"
"1164723","bis 5 min","B2B"
"1008325","bis 5 min","B2B"
"1315269","bis 5 min","B2B"
"1297847","bis 5 min","B2B"
"1165318","bis 5 min","B2B"
"1008573","bis 5 min","B2B"
"1315292","bis 5 min","B2B"
"1298345","bis 5 min","B2B"
"1165740","bis 5 min","B2B"
"1009028","bis 5 min","B2B"
"1316848","bis 5 min","B2B"
"1299770","bis 5 min","B2B"
"1167896","bis 5 min","B2B"
"1009805","bis 5 min","B2B"
"1318640","bis 5 min","B2B"
"1300056","bis 5 min","B2B"
"1168407","bis 5 min","B2B"
"1009899","bis 5 min","B2B"
"1319410","bis 5 min","B2B"
"1300656","bis 5 min","B2B"
"1170637","bis 5 min","B2B"
"1010065","bis 5 min","B2B"
"1319651","bis 5 min","B2B"
"1300910","bis 5 min","B2B"
"1170719","bis 5 min","B2B"
"1010274","bis 5 min","B2B"
"1320367","bis 5 min","B2B"
"1301034","bis 5 min","B2B"
"1170797","bis 5 min","B2B"
"1010460","bis 5 min","B2B"
"1320775","bis 5 min","B2B"
"1303251","bis 5 min","B2B"
"1170869","bis 5 min","B2B"
"1011189","bis 5 min","B2B"
"1321781","bis 5 min","B2B"
"1303688","bis 5 min","B2B"
"1171369","bis 5 min","B2B"
"1011581","bis 5 min","B2B"
"1321813","bis 5 min","B2B"
"1303765","bis 5 min","B2B"
"1171531","bis 5 min","B2B"
"1012660","bis 5 min","B2B"
"1322186","bis 5 min","B2B"
"1303903","bis 5 min","B2B"
"1171737","bis 5 min","B2B"
"1013092","bis 5 min","B2B"
"1322210","bis 5 min","B2B"
"1304515","bis 5 min","B2B"
"1172331","bis 5 min","B2B"
"1013803","bis 5 min","B2B"
"1322372","bis 5 min","B2B"
"1304729","bis 5 min","B2B"
"1174177","bis 5 min","B2B"
"1014338","bis 5 min","B2B"
"1322951","bis 5 min","B2B"
"1305256","bis 5 min","B2B"
"1174926","bis 5 min","B2B"
"1014650","bis 5 min","B2B"
"1323278","bis 5 min","B2B"
"1305312","bis 5 min","B2B"
"1175126","bis 5 min","B2B"
"1014842","bis 5 min","B2B"
"1323928","bis 5 min","B2B"
"1305436","bis 5 min","B2B"
"1175935","bis 5 min","B2B"
"1017642","bis 5 min","B2B"
"1324066","bis 5 min","B2B"
"1305796","bis 5 min","B2B"
"1176666","bis 5 min","B2B"
"1017765","bis 5 min","B2B"
"1324174","bis 5 min","B2B"
"1306108","bis 5 min","B2B"
"1177351","bis 5 min","B2B"
"1017975","bis 5 min","B2B"
"1324639","bis 5 min","B2B"
"1307014","bis 5 min","B2B"
"1178167","bis 5 min","B2B"
"1018316","bis 5 min","B2B"
"1324767","bis 5 min","B2B"
"1307188","bis 5 min","B2B"
"1179638","bis 5 min","B2B"
"1020018","bis 5 min","B2B"
"1324971","bis 5 min","B2B"
"1308003","bis 5 min","B2B"
"1180130","bis 5 min","B2B"
"1021299","bis 5 min","B2B"
"1325415","bis 5 min","B2B"
"1308694","bis 5 min","B2B"
"1180180","bis 5 min","B2B"
"1021583","bis 5 min","B2B"
"1325654","bis 5 min","B2B"
"1309095","bis 5 min","B2B"
"1180221","bis 5 min","B2B"
"1022172","bis 5 min","B2B"
"1325778","bis 5 min","B2B"
"1311280","bis 5 min","B2B"
"1180842","bis 5 min","B2B"
"1022310","bis 5 min","B2B"
"1326484","bis 5 min","B2B"
"1311313","bis 5 min","B2B"
"1181144","bis 5 min","B2B"
"1022370","bis 5 min","B2B"
"1326757","bis 5 min","B2B"
"1311707","bis 5 min","B2B"
"1181207","bis 5 min","B2B"
"1023215","bis 5 min","B2B"
"1327906","bis 5 min","B2B"
"1312229","bis 5 min","B2B"
"1181542","bis 5 min","B2B"
"1023216","bis 5 min","B2B"
"1328570","bis 5 min","B2B"
"1313579","bis 5 min","B2B"
"1181789","bis 5 min","B2B"
"1026804","bis 5 min","B2B"
"1329396","bis 5 min","B2B"
"1313787","bis 5 min","B2B"
"1181899","bis 5 min","B2B"
"1029683","bis 5 min","B2B"
"1329939","bis 5 min","B2B"
"1314155","bis 5 min","B2B"
"1182205","bis 5 min","B2B"
"1030602","bis 5 min","B2B"
"1330078","bis 5 min","B2B"
"1388178","bis 5 min","B2B"
"1182485","bis 5 min","B2B"
"1031511","bis 5 min","B2B"
"1330201","bis 5 min","B2B"
"1388833","bis 5 min","B2B"
"1183002","bis 5 min","B2B"
"1032242","bis 5 min","B2B"
"1330867","bis 5 min","B2B"
"1388875","bis 5 min","B2B"
"1183749","bis 5 min","B2B"
"1034870","bis 5 min","B2B"
"1331675","bis 5 min","B2B"
"1389848","bis 5 min","B2B"
"1184184","bis 5 min","B2B"
"1038727","bis 5 min","B2B"
"1333059","bis 5 min","B2B"
"1389903","bis 5 min","B2B"
"1184419","bis 5 min","B2B"
"1039690","bis 5 min","B2B"
"1334205","bis 5 min","B2B"
"1389908","bis 5 min","B2B"
"1185045","bis 5 min","B2B"
"1039854","bis 5 min","B2B"
"1335452","bis 5 min","B2B"
"1391022","bis 5 min","B2B"
"1185243","bis 5 min","B2B"
"1040822","bis 5 min","B2B"
"1336072","bis 5 min","B2B"
"1391106","bis 5 min","B2B"
"1185662","bis 5 min","B2B"
"1041985","bis 5 min","B2B"
"1336123","bis 5 min","B2B"
"1391421","bis 5 min","B2B"
"1185933","bis 5 min","B2B"
"1042791","bis 5 min","B2B"
"1336633","bis 5 min","B2B"
"1391515","bis 5 min","B2B"
"1186306","bis 5 min","B2B"
"1043556","bis 5 min","B2B"
"1336971","bis 5 min","B2B"
"1391950","bis 5 min","B2B"
"1186486","bis 5 min","B2B"
"1045256","bis 5 min","B2B"
"1337711","bis 5 min","B2B"
"1392147","bis 5 min","B2B"
"1186519","bis 5 min","B2B"
"1045799","bis 5 min","B2B"
"1337941","bis 5 min","B2B"
"1392250","bis 5 min","B2B"
"1186629","bis 5 min","B2B"
"1045905","bis 5 min","B2B"
"1339117","bis 5 min","B2B"
"1392442","bis 5 min","B2B"
"1186630","bis 5 min","B2B"
"1045977","bis 5 min","B2B"
"1340406","bis 5 min","B2B"
"1392680","bis 5 min","B2B"
"1187216","bis 5 min","B2B"
"1046030","bis 5 min","B2B"
"1340654","bis 5 min","B2B"
"1393103","bis 5 min","B2B"
"1187532","bis 5 min","B2B"
"1047841","bis 5 min","B2B"
"1341455","bis 5 min","B2B"
"1394098","bis 5 min","B2B"
"1187560","bis 5 min","B2B"
"1048716","bis 5 min","B2B"
"1342278","bis 5 min","B2B"
"1394600","bis 5 min","B2B"
"1189213","bis 5 min","B2B"
"1050671","bis 5 min","B2B"
"1342795","bis 5 min","B2B"
"1394647","bis 5 min","B2B"
"1189560","bis 5 min","B2B"
"1052939","bis 5 min","B2B"
"1343068","bis 5 min","B2B"
"1394809","bis 5 min","B2B"
"1190213","bis 5 min","B2B"
"1053368","bis 5 min","B2B"
"1343733","bis 5 min","B2B"
"1394947","bis 5 min","B2B"
"1190361","bis 5 min","B2B"
"1053373","bis 5 min","B2B"
"1344188","bis 5 min","B2B"
"1395528","bis 5 min","B2B"
"1190557","bis 5 min","B2B"
"1053386","bis 5 min","B2B"
"1344301","bis 5 min","B2B"
"1395569","bis 5 min","B2B"
"1191187","bis 5 min","B2B"
"1053400","bis 5 min","B2B"
"1344464","bis 5 min","B2B"
"1395624","bis 5 min","B2B"
"1191206","bis 5 min","B2B"
"1053431","bis 5 min","B2B"
"1344824","bis 5 min","B2B"
"1396559","bis 5 min","B2B"
"1191322","bis 5 min","B2B"
"1053588","bis 5 min","B2B"
"1344887","bis 5 min","B2B"
"1396956","bis 5 min","B2B"
"1192923","bis 5 min","B2B"
"1053757","bis 5 min","B2B"
"1344920","bis 5 min","B2B"
"1397106","bis 5 min","B2B"
"1193505","bis 5 min","B2B"
"1056020","bis 5 min","B2B"
"1345202","bis 5 min","B2B"
"1397211","bis 5 min","B2B"
"1193610","bis 5 min","B2B"
"1056561","bis 5 min","B2B"
"1345372","bis 5 min","B2B"
"1397581","bis 5 min","B2B"
"1193764","bis 5 min","B2B"
"1056816","bis 5 min","B2B"
"1346194","bis 5 min","B2B"
"1398199","bis 5 min","B2B"
"1194340","bis 5 min","B2B"
"1056977","bis 5 min","B2B"
"1346719","bis 5 min","B2B"
"1398426","bis 5 min","B2B"
"1194510","bis 5 min","B2B"
"1056981","bis 5 min","B2B"
"1346904","bis 5 min","B2B"
"1398516","bis 5 min","B2B"
"1196376","bis 5 min","B2B"
"1057767","bis 5 min","B2B"
"1348219","bis 5 min","B2B"
"1398882","bis 5 min","B2B"
"1197034","bis 5 min","B2B"
"1058036","bis 5 min","B2B"
"1348513","bis 5 min","B2B"
"1398897","bis 5 min","B2B"
"1197959","bis 5 min","B2B"
"1058040","bis 5 min","B2B"
"1348635","bis 5 min","B2B"
"1400795","bis 5 min","B2B"
"1198064","bis 5 min","B2B"
"1058781","bis 5 min","B2B"
"1348815","bis 5 min","B2B"
"1402173","bis 5 min","B2B"
"1199870","bis 5 min","B2B"
"1059190","bis 5 min","B2B"
"1350723","bis 5 min","B2B"
"1402536","bis 5 min","B2B"
"1200221","bis 5 min","B2B"
"1059292","bis 5 min","B2B"
"1350886","bis 5 min","B2B"
"1403351","bis 5 min","B2B"
"1200292","bis 5 min","B2B"
"1059357","bis 5 min","B2B"
"1351167","bis 5 min","B2B"
"1403992","bis 5 min","B2B"
"1200371","bis 5 min","B2B"
"1060222","bis 5 min","B2B"
"1352183","bis 5 min","B2B"
"1404120","bis 5 min","B2B"
"1201978","bis 5 min","B2B"
"1060700","bis 5 min","B2B"
"1353347","bis 5 min","B2B"
"1405273","bis 5 min","B2B"
"1202954","bis 5 min","B2B"
"1060881","bis 5 min","B2B"
"1354076","bis 5 min","B2B"
