"Fahrt: Name","Ende Wochentag"
"1249445","1 Montag"
"1898836","1 Montag"
"1249573","1 Montag"
"1898905","1 Montag"
"1249744","1 Montag"
"1898908","1 Montag"
"1249990","1 Montag"
"1898917","1 Montag"
"1250011","1 Montag"
"1898941","1 Montag"
"1250757","1 Montag"
"1898957","1 Montag"
"1250958","1 Montag"
"1898987","1 Montag"
"1251061","1 Montag"
"1972429","1 Montag"
"1251318","1 Montag"
"1972434","1 Montag"
"1251388","1 Montag"
"1972454","1 Montag"
"1251497","1 Montag"
"1972505","1 Montag"
"1251554","1 Montag"
"1972624","1 Montag"
"1251913","1 Montag"
"1972751","1 Montag"
"1252443","1 Montag"
"1973233","1 Montag"
"1252490","1 Montag"
"1973317","1 Montag"
"1252557","1 Montag"
"1973653","1 Montag"
"1002703","1 Montag"
"1973877","1 Montag"
"1003156","1 Montag"
"1974439","1 Montag"
"1003483","1 Montag"
"1975044","1 Montag"
"1003539","1 Montag"
"1975063","1 Montag"
"1003628","1 Montag"
"1975083","1 Montag"
"1004019","1 Montag"
"1975152","1 Montag"
"1004041","1 Montag"
"1975265","1 Montag"
"1004480","1 Montag"
"1975288","1 Montag"
"1004664","1 Montag"
"1975629","1 Montag"
"1004757","1 Montag"
"1975679","1 Montag"
"1004826","1 Montag"
"1975717","1 Montag"
"1004891","1 Montag"
"1975888","1 Montag"
"1005112","1 Montag"
"1976102","1 Montag"
"1005305","1 Montag"
"1976183","1 Montag"
"1021578","1 Montag"
"1976220","1 Montag"
"1021579","1 Montag"
"1976304","1 Montag"
"1021667","1 Montag"
"1976357","1 Montag"
"1022163","1 Montag"
"1976410","1 Montag"
"1022405","1 Montag"
"1976519","1 Montag"
"1022574","1 Montag"
"1976607","1 Montag"
"1022671","1 Montag"
"1976634","1 Montag"
"1022796","1 Montag"
"1976890","1 Montag"
"1022822","1 Montag"
"1976982","1 Montag"
"1022940","1 Montag"
"1977157","1 Montag"
"1022990","1 Montag"
"1977441","1 Montag"
"1023008","1 Montag"
"1977602","1 Montag"
"1023145","1 Montag"
"1977789","1 Montag"
"1023570","1 Montag"
"1977820","1 Montag"
"1023634","1 Montag"
"1977825","1 Montag"
"1023965","1 Montag"
"1977882","1 Montag"
"1036654","1 Montag"
"1978097","1 Montag"
"1036845","1 Montag"
"1978173","1 Montag"
"1037140","1 Montag"
"1978174","1 Montag"
"1037413","1 Montag"
"1978243","1 Montag"
"1037563","1 Montag"
"1978460","1 Montag"
"1037593","1 Montag"
"1978495","1 Montag"
"1037889","1 Montag"
"1978746","1 Montag"
"1038240","1 Montag"
"1978845","1 Montag"
"1038252","1 Montag"
"1978925","1 Montag"
"1038470","1 Montag"
"1978993","1 Montag"
"1038648","1 Montag"
"1979155","1 Montag"
"1039313","1 Montag"
"1979558","1 Montag"
"1039321","1 Montag"
"1979700","1 Montag"
"1052583","1 Montag"
"1980035","1 Montag"
"1052796","1 Montag"
"1980208","1 Montag"
"1053562","1 Montag"
"1980291","1 Montag"
"1053585","1 Montag"
"1980452","1 Montag"
"1053853","1 Montag"
"1980474","1 Montag"
"1053909","1 Montag"
"1980554","1 Montag"
"1054045","1 Montag"
"1980727","1 Montag"
"1054072","1 Montag"
"1980918","1 Montag"
"1054235","1 Montag"
"1981226","1 Montag"
"1054368","1 Montag"
"1981522","1 Montag"
"1054512","1 Montag"
"1981613","1 Montag"
"1054515","1 Montag"
"1981805","1 Montag"
"1054716","1 Montag"
"1981827","1 Montag"
"1074818","1 Montag"
"1981862","1 Montag"
"1074991","1 Montag"
"1981929","1 Montag"
"1075502","1 Montag"
"1981964","1 Montag"
"1075813","1 Montag"
"1981999","1 Montag"
"1075826","1 Montag"
"1982161","1 Montag"
"1076859","1 Montag"
"1982520","1 Montag"
"1077089","1 Montag"
"1982726","1 Montag"
"1077164","1 Montag"
"1982798","1 Montag"
"1077263","1 Montag"
"1982813","1 Montag"
"1078024","1 Montag"
"1982909","1 Montag"
"1078090","1 Montag"
"1982945","1 Montag"
"1078228","1 Montag"
"1982947","1 Montag"
"1078315","1 Montag"
"1983066","1 Montag"
"1078895","1 Montag"
"1983137","1 Montag"
"1079198","1 Montag"
"1983173","1 Montag"
"1079210","1 Montag"
"1983200","1 Montag"
"1079392","1 Montag"
"1983266","1 Montag"
"1107401","1 Montag"
"1983335","1 Montag"
"1107420","1 Montag"
"1983350","1 Montag"
"1107642","1 Montag"
"1983615","1 Montag"
"1107865","1 Montag"
"1983876","1 Montag"
"1107945","1 Montag"
"1984394","1 Montag"
"1108194","1 Montag"
"1984504","1 Montag"
"1108264","1 Montag"
"1984561","1 Montag"
"1108578","1 Montag"
"1984915","1 Montag"
"1108611","1 Montag"
"1985053","1 Montag"
"1108677","1 Montag"
"1985076","1 Montag"
"1108919","1 Montag"
"1985084","1 Montag"
"1109073","1 Montag"
"1985109","1 Montag"
