"Fahrt: Name","Zugangsmedium Typ"
"1151374","Phone"
"2189474","Phone"
"1152032","Phone"
"2189922","Phone"
"1152649","Phone"
"2190085","Phone"
"1152846","Phone"
"2191397","Phone"
"1154656","Phone"
"2191398","Phone"
"1156630","Phone"
"2191907","Phone"
"1157676","Phone"
"2191934","Phone"
"1158977","Phone"
"2192051","Phone"
"1160136","Phone"
"2192093","Phone"
"1160325","Phone"
"2192170","Phone"
"1162104","Phone"
"2192196","Phone"
"1162549","Phone"
"2192247","Phone"
"1162709","Phone"
"2192254","Phone"
"1163173","Phone"
"2192280","Phone"
"1163867","Phone"
"2192326","Phone"
"1164163","Phone"
"2192343","Phone"
"1164331","Phone"
"2192923","Phone"
"1164625","Phone"
"2192934","Phone"
"1165892","Phone"
"2192955","Phone"
"1165949","Phone"
"2193070","Phone"
"1165963","Phone"
"2193404","Phone"
"1167121","Phone"
"2193407","Phone"
"1167442","Phone"
"2193755","Phone"
"1167522","Phone"
"2193841","Phone"
"1168026","Phone"
"2193888","Phone"
"1168092","Phone"
"2194060","Phone"
"1168129","Phone"
"2194725","Phone"
"1168400","Phone"
"2194818","Phone"
"1168664","Phone"
"2195284","Phone"
"1168766","Phone"
"2195328","Phone"
"1168837","Phone"
"2195922","Phone"
"1169144","Phone"
"2196164","Phone"
"1169228","Phone"
"2196543","Phone"
"1169770","Phone"
"2196612","Phone"
"1169934","Phone"
"2196740","Phone"
"1170038","Phone"
"2196992","Phone"
"1170132","Phone"
"2197484","Phone"
"1170251","Phone"
"2197519","Phone"
"1170289","Phone"
"2197803","Phone"
"1170322","Phone"
"2198076","Phone"
"1170368","Phone"
"2198379","Phone"
"1170496","Phone"
"2198798","Phone"
"1170755","Phone"
"2199109","Phone"
"1170868","Phone"
"2199130","Phone"
"1171732","Phone"
"2199483","Phone"
"1172145","Phone"
"2199596","Phone"
"1172288","Phone"
"2199606","Phone"
"1172329","Phone"
"2199881","Phone"
"1172393","Phone"
"2199980","Phone"
"1172396","Phone"
"2199983","Phone"
"1172760","Phone"
"2200142","Phone"
"1173575","Phone"
"2200168","Phone"
"1173801","Phone"
"2200783","Phone"
"1173831","Phone"
"2200842","Phone"
"1173917","Phone"
"2200873","Phone"
"1174224","Phone"
"2200984","Phone"
"1174377","Phone"
"2200993","Phone"
"1174517","Phone"
"2201155","Phone"
"1175042","Phone"
"2201306","Phone"
"1175074","Phone"
"2201390","Phone"
"1175807","Phone"
"2201488","Phone"
"1175844","Phone"
"2201706","Phone"
"1175925","Phone"
"2202042","Phone"
"1175954","Phone"
"2202242","Phone"
"1176395","Phone"
"2202351","Phone"
"1176482","Phone"
"2202500","Phone"
"1178102","Phone"
"2202824","Phone"
"1179008","Phone"
"2202870","Phone"
"1179255","Phone"
"2203601","Phone"
"1179743","Phone"
"2203853","Phone"
"1180083","Phone"
"2203860","Phone"
"1180130","Phone"
"2203861","Phone"
"1180577","Phone"
"2203966","Phone"
"1181878","Phone"
"2204364","Phone"
"1181899","Phone"
"2204365","Phone"
"1182187","Phone"
"2204541","Phone"
"1183216","Phone"
"2204567","Phone"
"1183504","Phone"
"2204604","Phone"
"1183555","Phone"
"2204681","Phone"
"1183558","Phone"
"2204936","Phone"
"1183749","Phone"
"2205029","Phone"
"1183799","Phone"
"2205052","Phone"
"1184184","Phone"
"2205148","Phone"
"1184419","Phone"
"2205207","Phone"
"1185243","Phone"
"2205244","Phone"
"1185942","Phone"
"2205334","Phone"
"1186306","Phone"
"2205484","Phone"
"1186477","Phone"
"2205655","Phone"
"1187376","Phone"
"2205780","Phone"
"1187532","Phone"
"2205794","Phone"
"1187953","Phone"
"2205823","Phone"
"1188406","Phone"
"2205836","Phone"
"1188850","Phone"
"2205919","Phone"
"1189151","Phone"
"2205949","Phone"
"1189213","Phone"
"2205958","Phone"
"1189259","Phone"
"2205971","Phone"
"1189560","Phone"
"2206086","Phone"
"1189870","Phone"
"2206102","Phone"
"1189884","Phone"
"2206152","Phone"
"1190320","Phone"
"2206572","Phone"
"1190361","Phone"
"2206808","Phone"
"1190388","Phone"
"2206961","Phone"
"1191016","Phone"
"2207370","Phone"
"1191322","Phone"
"2207438","Phone"
"1191746","Phone"
"2207777","Phone"
"1191825","Phone"
"2208237","Phone"
"1192856","Phone"
"2208248","Phone"
"1193250","Phone"
"2208767","Phone"
"1193354","Phone"
"2209270","Phone"
"1193621","Phone"
"2209366","Phone"
"1193694","Phone"
"2209631","Phone"
"1193764","Phone"
"2209729","Phone"
"1193780","Phone"
"2210617","Phone"
"1193813","Phone"
"2210808","Phone"
"1193896","Phone"
"2210971","Phone"
"1193988","Phone"
"2211460","Phone"
"1194115","Phone"
"2211574","Phone"
"1194409","Phone"
"2211624","Phone"
"1194513","Phone"
"2211759","Phone"
"1194964","Phone"
"2211760","Phone"
"1195076","Phone"
"2212097","Phone"
"1196007","Phone"
"2212129","Phone"
"1196193","Phone"
"2212373","Phone"
"1196197","Phone"
"2212806","Phone"
"1196598","Phone"
"2213054","Phone"
"1196993","Phone"
"2213077","Phone"
"1197034","Phone"
"2213315","Phone"
"1197082","Phone"
"2213608","Phone"
"1197758","Phone"
"2213693","Phone"
"1197959","Phone"
"2214161","Phone"
"1197970","Phone"
"2214165","Phone"
"1198064","Phone"
"2214682","Phone"
"1198319","Phone"
"2214687","Phone"
"1199185","Phone"
"2214764","Phone"
"1200236","Phone"
"2214867","Phone"
"1201080","Phone"
"2214959","Phone"
"1201214","Phone"
"2215252","Phone"
"1201362","Phone"
"2215272","Phone"
"1201543","Phone"
"2215417","Phone"
"1202289","Phone"
"2215424","Phone"
"1203097","Phone"
"2215460","Phone"
"1203145","Phone"
"2215476","Phone"
"1203733","Phone"
"2215531","Phone"
"1204534","Phone"
"2215650","Phone"
"1204542","Phone"
"2215712","Phone"
"1205296","Phone"
"2215736","Phone"
"1205500","Phone"
"2215914","Phone"
"1205726","Phone"
"2215985","Phone"
"1206388","Phone"
"2216049","Phone"
"1206715","Phone"
"2216083","Phone"
"1207991","Phone"
"2216088","Phone"
"1207993","Phone"
"2216160","Phone"
"1208002","Phone"
"2216213","Phone"
"1208060","Phone"
"2216320","Phone"
"1208230","Phone"
"2216322","Phone"
"1208264","Phone"
"2216331","Phone"
"1210086","Phone"
"2216390","Phone"
"1211597","Phone"
"2216428","Phone"
"1212168","Phone"
"2216456","Phone"
"1212236","Phone"
"2216579","Phone"
"1214901","Phone"
"2216645","Phone"
"1215087","Phone"
"2216732","Phone"
"1215371","Phone"
"2217317","Phone"
"1215455","Phone"
"2217399","Phone"
"1215630","Phone"
"2217422","Phone"
"1215741","Phone"
"2217456","Phone"
"1215767","Phone"
"2217505","Phone"
"1216481","Phone"
"2217573","Phone"
"1216714","Phone"
"2217815","Phone"
"1217133","Phone"
"2217823","Phone"
"1217166","Phone"
"2217826","Phone"
"1217349","Phone"
"2218040","Phone"
"1217480","Phone"
"2218042","Phone"
"1217552","Phone"
"2218379","Phone"
"1217855","Phone"
"2218430","Phone"
"1219431","Phone"
"2218446","Phone"
"1220532","Phone"
"2218688","Phone"
"1222017","Phone"
"2219006","Phone"
"1222087","Phone"
"2219135","Phone"
"1223190","Phone"
"2219218","Phone"
"1223844","Phone"
"2219330","Phone"
"1224735","Phone"
"2219590","Phone"
"1225538","Phone"
"2220351","Phone"
"1226609","Phone"
"2220388","Phone"
"1226730","Phone"
"2221134","Phone"
"1226808","Phone"
"2221353","Phone"
"1226814","Phone"
"2221637","Phone"
"1226928","Phone"
"2221638","Phone"
"1227355","Phone"
"2221684","Phone"
"1228864","Phone"
"2221770","Phone"
"1229363","Phone"
"2221804","Phone"
"1230156","Phone"
"2222279","Phone"
"1230292","Phone"
"2222498","Phone"
"1230390","Phone"
"2222510","Phone"
"1232063","Phone"
"2222597","Phone"
"1232126","Phone"
"2222630","Phone"
"1232135","Phone"
"2222919","Phone"
"1232373","Phone"
"2222922","Phone"
"1232697","Phone"
"2222927","Phone"
"1232979","Phone"
"2223580","Phone"
"1233132","Phone"
"2223783","Phone"
"1233542","Phone"
"2224124","Phone"
"1233549","Phone"
"2224163","Phone"
"1233588","Phone"
"2224244","Phone"
"1233704","Phone"
"2224386","Phone"
"1234047","Phone"
"2224700","Phone"
"1234706","Phone"
"2224712","Phone"
"1235066","Phone"
"2224868","Phone"
"1236231","Phone"
"2225261","Phone"
"1236364","Phone"
"2225275","Phone"
"1237120","Phone"
"2225357","Phone"
"1237727","Phone"
"2225466","Phone"
"1237813","Phone"
"2225734","Phone"
"1238792","Phone"
"2225744","Phone"
"1239308","Phone"
"2225898","Phone"
"1239558","Phone"
"2225911","Phone"
"1239560","Phone"
"2225991","Phone"
"1240142","Phone"
"2226134","Phone"
"1240268","Phone"
"2226330","Phone"
"1240565","Phone"
"2226413","Phone"
"1241172","Phone"
"2226559","Phone"
"1241209","Phone"
"2226586","Phone"
"1241530","Phone"
"2226618","Phone"
"1241603","Phone"
"2226691","Phone"
"1242804","Phone"
"2226710","Phone"
"1243221","Phone"
"2226924","Phone"
"1244319","Phone"
"2226961","Phone"
"1244450","Phone"
"2227071","Phone"
"1245567","Phone"
"2227246","Phone"
"1246350","Phone"
"2227263","Phone"
"1246353","Phone"
"2227271","Phone"
"1246544","Phone"
"2227415","Phone"
"1246760","Phone"
"2227534","Phone"
"1248237","Phone"
"2227964","Phone"
"1248364","Phone"
"2227981","Phone"
"1248419","Phone"
"2228052","Phone"
"1248706","Phone"
"2228137","Phone"
"1248742","Phone"
"2228170","Phone"
"1248840","Phone"
"2228234","Phone"
"1249028","Phone"
"2228571","Phone"
"1249336","Phone"
"2228627","Phone"
"1249385","Phone"
"2228714","Phone"
"1249445","Phone"
"2228721","Phone"
"1249573","Phone"
"2228952","Phone"
"1250958","Phone"
"2228955","Phone"
"1252557","Phone"
"2229071","Phone"
"996929","Phone"
"2229236","Phone"
"999405","Phone"
"2229689","Phone"
"1000112","Phone"
"2229708","Phone"
"1000267","Phone"
"2229824","Phone"
"1000289","Phone"
"2230467","Phone"
"1000875","Phone"
"2230491","Phone"
"1001185","Phone"
"2231536","Phone"
"1001263","Phone"
"2231619","Phone"
"1001267","Phone"
"2232247","Phone"
"1001634","Phone"
"2232315","Phone"
"1003156","Phone"
"2232322","Phone"
"1003483","Phone"
"2232442","Phone"
"1003539","Phone"
"2232639","Phone"
"1004041","Phone"
"2232704","Phone"
"1004664","Phone"
"2233130","Phone"
"1004757","Phone"
"2233321","Phone"
"1005305","Phone"
"2233662","Phone"
"1006740","Phone"
"2233704","Phone"
"1007030","Phone"
"2233889","Phone"
"1007191","Phone"
"2233903","Phone"
"1008416","Phone"
"2233938","Phone"
"1008585","Phone"
"2234121","Phone"
"1009024","Phone"
"2234153","Phone"
"1010497","Phone"
"2234167","Phone"
"1011585","Phone"
"2234175","Phone"
"1011642","Phone"
"2234283","Phone"
"1011845","Phone"
"2234596","Phone"
"1012015","Phone"
"2234610","Phone"
"1012043","Phone"
"2234676","Phone"
"1012584","Phone"
"2234853","Phone"
"1012977","Phone"
"2234972","Phone"
"1013158","Phone"
"2235016","Phone"
"1014146","Phone"
"2235455","Phone"
"1014342","Phone"
"2235456","Phone"
"1014969","Phone"
"2235502","Phone"
"1014969","Phone"
"2235505","Phone"
"1015957","Phone"
"2235521","Phone"
"1016084","Phone"
"2235569","Phone"
"1016473","Phone"
"2235612","Phone"
"1016513","Phone"
"2235691","Phone"
"1016725","Phone"
"2235862","Phone"
"1017064","Phone"
"2235938","Phone"
"1017164","Phone"
"2236320","Phone"
"1017698","Phone"
"2236325","Phone"
"1017852","Phone"
"2236420","Phone"
"1018013","Phone"
"2236489","Phone"
"1018512","Phone"
"2236493","Phone"
"1018980","Phone"
"2236494","Phone"
"1020119","Phone"
"2236595","Phone"
"1020138","Phone"
"2238642","Phone"
"1020486","Phone"
"2239469","Phone"
"1020594","Phone"
"2239710","Phone"
"1021168","Phone"
"2239854","Phone"
"1021579","Phone"
"2240070","Phone"
"1022796","Phone"
"2240250","Phone"
"1022822","Phone"
"2240339","Phone"
"1022940","Phone"
"2240388","Phone"
"1023008","Phone"
"2240409","Phone"
"1023145","Phone"
"2240464","Phone"
"1023570","Phone"
"2240479","Phone"
"1023965","Phone"
"2240482","Phone"
"1024236","Phone"
"2240522","Phone"
"1024456","Phone"
"2240613","Phone"
"1024990","Phone"
"2240707","Phone"
"1025255","Phone"
"2240709","Phone"
"1025314","Phone"
"2240772","Phone"
"1026139","Phone"
"2240811","Phone"
"1026433","Phone"
"2240986","Phone"
"1026968","Phone"
"2241370","Phone"
"1026977","Phone"
"2241380","Phone"
"1027699","Phone"
"2241516","Phone"
"1028599","Phone"
"2241527","Phone"
"1029169","Phone"
"2241697","Phone"
"1029192","Phone"
"2241729","Phone"
"1029248","Phone"
"2242038","Phone"
"1029952","Phone"
"2242189","Phone"
"1030114","Phone"
"2242349","Phone"
"1030176","Phone"
"2242504","Phone"
"1030372","Phone"
"2242575","Phone"
"1030526","Phone"
"2242613","Phone"
"1030620","Phone"
"2242656","Phone"
"1031819","Phone"
"2242689","Phone"
"1031853","Phone"
"2242870","Phone"
"1032365","Phone"
"2244370","Phone"
"1032566","Phone"
"2244455","Phone"
"1034817","Phone"
"2244964","Phone"
"1036167","Phone"
"2245143","Phone"
"1036320","Phone"
"2245180","Phone"
"1036506","Phone"
"2245334","Phone"
"1036654","Phone"
"2245562","Phone"
"1036845","Phone"
"2245795","Phone"
"1037140","Phone"
"2245854","Phone"
"1037413","Phone"
"2246044","Phone"
"1037563","Phone"
"2246602","Phone"
"1039321","Phone"
"2246605","Phone"
"1039528","Phone"
"2246787","Phone"
"1041407","Phone"
"2246803","Phone"
"1041482","Phone"
"2246805","Phone"
"1041636","Phone"
"2246825","Phone"
"1041706","Phone"
"2246832","Phone"
"1041849","Phone"
"2246907","Phone"
"1042003","Phone"
"2246918","Phone"
"1042143","Phone"
"2246943","Phone"
"1043219","Phone"
"2247107","Phone"
"1043241","Phone"
"2247131","Phone"
"1043527","Phone"
"2247621","Phone"
"1043727","Phone"
"2248297","Phone"
"1044017","Phone"
"2248377","Phone"
"1044285","Phone"
"2250600","Phone"
"1044347","Phone"
"2251221","Phone"
"1044621","Phone"
"2251513","Phone"
"1044827","Phone"
"2251738","Phone"
"1045887","Phone"
"2251785","Phone"
"1046188","Phone"
"2252043","Phone"
"1046767","Phone"
"2252128","Phone"
"1046782","Phone"
"2252358","Phone"
"1046947","Phone"
"2252409","Phone"
"1047360","Phone"
"2252472","Phone"
"1047843","Phone"
"2252844","Phone"
"1048144","Phone"
"2253194","Phone"
"1048171","Phone"
"2253255","Phone"
"1048487","Phone"
"2253427","Phone"
"1048711","Phone"
"2253500","Phone"
"1049215","Phone"
"2253685","Phone"
"1049983","Phone"
"2253827","Phone"
"1050024","Phone"
"2254101","Phone"
"1050258","Phone"
"2254151","Phone"
"1050655","Phone"
"2254849","Phone"
"1051405","Phone"
"2255522","Phone"
"1051823","Phone"
"2255584","Phone"
"1052583","Phone"
"2255680","Phone"
"1053562","Phone"
"2256046","Phone"
"1053585","Phone"
"2256307","Phone"
"1054045","Phone"
"2256424","Phone"
"1054235","Phone"
"2256449","Phone"
"1054368","Phone"
"2256483","Phone"
"1054512","Phone"
"2256608","Phone"
"1055271","Phone"
"2256657","Phone"
"1055446","Phone"
"2256728","Phone"
"1055948","Phone"
"2256738","Phone"
"1056102","Phone"
"2256859","Phone"
"1057154","Phone"
"2257453","Phone"
"1057886","Phone"
"2257488","Phone"
"1058342","Phone"
"2257591","Phone"
"1058373","Phone"
"2257612","Phone"
"1058384","Phone"
"2257805","Phone"
"1060445","Phone"
"2257975","Phone"
"1060464","Phone"
"2258013","Phone"
"1060973","Phone"
"2258247","Phone"
"1061120","Phone"
"2258630","Phone"
"1061206","Phone"
"2258763","Phone"
"1061993","Phone"
"2258844","Phone"
"1062152","Phone"
"2258888","Phone"
"1062331","Phone"
"2259170","Phone"
"1063919","Phone"
"2259192","Phone"
"1064265","Phone"
"2259242","Phone"
"1064397","Phone"
"2259247","Phone"
"1064754","Phone"
"2259249","Phone"
"1065173","Phone"
"2259347","Phone"
"1065612","Phone"
"2259481","Phone"
"1065686","Phone"
"2259495","Phone"
"1066070","Phone"
"2259599","Phone"
"1066179","Phone"
"2259623","Phone"
"1067109","Phone"
"2259631","Phone"
"1067646","Phone"
"2259692","Phone"
"1068803","Phone"
"2259700","Phone"
"1068842","Phone"
"2259754","Phone"
"1069541","Phone"
"2259772","Phone"
"1070900","Phone"
"2259903","Phone"
"1070908","Phone"
"2260043","Phone"
"1071067","Phone"
"2260143","Phone"
"1071080","Phone"
"2260238","Phone"
"1071737","Phone"
"2260315","Phone"
"1072156","Phone"
"2260322","Phone"
"1072405","Phone"
"2260370","Phone"
"1072946","Phone"
"2260404","Phone"
"1073430","Phone"
"2260460","Phone"
"1073451","Phone"
"2260882","Phone"
"1073938","Phone"
"2261252","Phone"
"1074818","Phone"
"2261551","Phone"
"1074991","Phone"
"2262764","Phone"
"1075502","Phone"
"2264164","Phone"
"1076859","Phone"
"2264230","Phone"
"1078024","Phone"
"2264546","Phone"
"1078228","Phone"
"2265108","Phone"
