Date,PLZ To Id,PLZ To Name,Count
2019-05-27,8152,Opfikon,48
2019-05-27,6532,Arbedo-Castione,591
2019-05-27,6991,Neggio,109
2019-05-27,6525,Bellinzona,61
2019-05-27,6048,Horw,58
2019-05-27,6742,Pollegio,101
2019-05-27,6572,Gambarogno,275
2019-05-27,6613,Ronco sopra Ascona,63
2019-05-27,6500,Bellinzona,3424
2019-05-27,6815,Melide,1301
2019-05-27,6866,Mendrisio,74
2019-05-27,6340,Baar Neuheim,81
2019-05-27,6832,Chiasso,36
2019-05-27,8047,Zürich,24
2019-05-27,6460,Altdorf (UR),73
2019-05-27,6834,Morbio Inferiore,881
2019-05-27,6004,Luzern,179
2019-05-27,8620,Wetzikon (ZH),27
2019-05-27,6710,Biasca,598
2019-05-27,6989,Croglio,298
2019-05-27,3800,Beatenberg Interlaken Matten bei Interlaken Unterseen,106
2019-05-27,7302,Landquart,70
2019-05-27,6353,Weggis,33
2019-05-27,6817,Maroggia,203
2019-05-27,8032,Zürich,23
2019-05-27,6802,Monteceneri,1746
2019-05-27,8340,Hinwil,22
2019-05-27,6956,Capriasca,82
2019-05-27,8280,Kreuzlingen,45
2019-05-27,8052,Zürich,24
2019-05-27,6574,Gambarogno,36
2019-05-27,9450,Altstätten,56
2019-05-27,6930,Bedano,2076
2019-05-27,6816,Bissone,592
2019-05-27,6614,Brissago,80
2019-05-27,6838,Breggia,64
2019-05-27,8180,Bülach,21
2019-05-27,9430,St. Margrethen,52
2019-05-27,4052,Basel,70
2019-05-27,6517,Arbedo-Castione,121
2019-05-27,6853,Mendrisio,482
2019-05-27,6806,Monteceneri,354
2019-05-27,6440,Ingenbohl,40
2019-05-27,6821,Rovio,62
2019-05-27,6998,Monteggio,899
2019-05-27,6557,Cama,21
2019-05-27,6875,Castel San Pietro,45
2019-05-27,8003,Zürich,40
2019-05-27,6472,Erstfeld,196
2019-05-27,6945,Origlio,561
2019-05-27,6934,Bioggio,1026
2019-05-27,6921,Vico Morcote,172
2019-05-27,6826,Riva San Vitale,603
2019-05-27,6596,Gordola,433
2019-05-27,9462,Oberriet (SG),49
2019-05-27,6981,Bedigliora Croglio Curio,264
2019-05-27,3818,Grindelwald,31
2019-05-27,6912,Lugano,35
2019-05-27,8808,Freienbach,22
2019-05-27,6513,Bellinzona,589
2019-05-27,4132,Muttenz,291
2019-05-27,6653,Terre di Pedemonte,53
2019-05-27,6994,Aranno,190
2019-05-27,6330,Cham,32
2019-05-27,6746,Faido,30
2019-05-27,6825,Mendrisio,316
2019-05-27,4057,Basel,496
2019-05-27,4133,Pratteln,56
2019-05-27,6803,Monteceneri,177
2019-05-27,4624,Härkingen,30
2019-05-27,6775,Quinto,60
2019-05-27,6917,Lugano,1223
2019-05-27,6467,Schattdorf,830
2019-05-27,6960,Capriasca,53
2019-05-27,3007,Bern,24
2019-05-27,6992,Bioggio Vernate,135
2019-05-27,6928,Manno,305
2019-05-27,6850,Mendrisio,3391
2019-05-27,6965,Lugano,93
2019-05-27,6721,Acquarossa Serravalle,25
2019-05-27,7306,Fläsch,32
2019-05-27,7412,Scharans,55
2019-05-27,6390,Engelberg,45
2019-05-27,8957,Spreitenbach,30
2019-05-27,6938,Alto Malcantone,123
2019-05-27,6980,Croglio,77
2019-05-27,6743,Bodio,85
2019-05-27,4310,Rheinfelden,75
2019-05-27,8134,Adliswil,21
2019-05-27,6814,Cadempino Lamone,1908
2019-05-27,6818,Melano,663
2019-05-27,6030,Ebikon,30
2019-05-27,6953,Capriasca,704
2019-05-27,8912,Obfelden,35
2019-05-27,6003,Luzern,177
2019-05-27,6023,Rothenburg,208
2019-05-27,6913,Lugano,43
2019-05-27,8240,Thayngen,177
2019-05-27,8805,Richterswil,27
2019-05-27,6516,Cugnasco-Gerra,136
2019-05-27,9470,Buchs (SG) Grabs,74
2019-05-27,6854,Stabio,198
2019-05-27,6484,Wassen,21
2019-05-27,9434,Au (SG),59
2019-05-27,8304,Wallisellen,24
2019-05-27,6252,Dagmersellen,29
2019-05-27,8953,Dietikon,73
2019-05-27,6703,Riviera,44
2019-05-27,4125,Riehen,24
2019-05-27,8038,Zürich,49
2019-05-27,6997,Sessa,99
2019-05-27,6822,Arogno,341
2019-05-27,6563,Mesocco,68
2019-05-27,5430,Wettingen,29
2019-05-27,6490,Andermatt,27
2019-05-27,9463,Oberriet (SG),26
2019-05-27,6600,Locarno Muralto,1217
