VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
306,41301,S,81141300455,28011,TPL Rimessa Rugi' E,01.04.2019,06:54:40,06:55:30,1,603729.76,0,0,M. Porte aperte,10
306,41301,S,81141300455,412402,Lugano- Pista Ghiaccio- Mast 2,01.04.2019,06:57:58,07:01:30,4,603730.65,1.17,1.35,,
306,41301,S,81141300402,412402,Lugano- Pista Ghiaccio- Mast 2,01.04.2019,07:02:30,07:01:30,-1,603730.84,0,0,M. Porte aperte,48
306,41301,S,81141300402,405002,Lugano- Resega- Mast 2,01.04.2019,07:04:22,07:03:30,-1,603731.06,0.21,0.263,,
314,41302,S,81141300458,28011,TPL Rimessa Rugi' E,01.04.2019,07:05:24,07:05:30,0,109940.46,0,,M. Porte aperte,32
306,41301,S,81141300402,404802,Lugano- Gerra- Mast 2,01.04.2019,07:05:56,07:05:00,-1,603731.55,0.48,0.421,M. Porte aperte,8
306,41301,S,81141300402,404702,Lugano- Cimitero- Mast 2,01.04.2019,07:07:18,07:06:00,-1,603731.86,0.31,0.304,M. Porte aperte,10
314,41302,S,81141300458,412402,Lugano- Pista Ghiaccio- Mast 2,01.04.2019,07:08:00,07:11:30,4,109941.6,1.14,1.35,,
306,41301,S,81141300402,402602,Lugano- Via Ginevra- Mast 2,01.04.2019,07:11:58,07:10:00,-2,603733.36,1.45,1.41,M. Porte aperte,10
306,41301,S,81141300402,400102,Lugano- Centro- Mast 2,01.04.2019,07:12:28,07:11:30,-1,603733.57,0.25,0.313,,
314,41302,S,81141300404,412402,Lugano- Pista Ghiaccio- Mast 2,01.04.2019,07:12:28,07:11:30,-1,109941.8,0,,M. Porte aperte,86
314,41302,S,81141300404,405002,Lugano- Resega- Mast 2,01.04.2019,07:13:18,07:13:30,0,109942.01,0.21,0.263,,
314,41302,S,81141300404,404802,Lugano- Gerra- Mast 2,01.04.2019,07:14:58,07:15:00,0,109942.47,0.45,0.421,,
306,41301,S,81141300401,400102,Lugano- Centro- Mast 2,01.04.2019,07:15:20,07:13:00,-2,603733.6,0,0,M. Porte aperte,86
314,41302,S,81141300404,404702,Lugano- Cimitero- Mast 2,01.04.2019,07:16:24,07:16:00,0,109942.78,0.31,0.304,M. Porte aperte,10
306,41301,S,81141300401,401302,Lugano- Autosilo- Mast 2,01.04.2019,07:16:42,07:15:00,-2,603733.96,0.36,0.382,,
301,41303,S,81141300462,28011,TPL Rimessa Rugi' E,01.04.2019,07:16:46,07:15:30,-1,583626.69,0,0,M. Porte aperte,110
