VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
104,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:32:04,06:30:00,-2,360935.15,0,0,,
104,40801,8,81140800801,420101,Pambio- S. Pietro Chiesa- Mast 1,02.05.2019,06:33:00,06:31:30,-2,360935.66,0.5,0.431,,
104,40801,8,81140800801,420201,Pambio- Paese- Mast 1,02.05.2019,06:35:04,06:34:30,-1,360936.29,0.63,0.625,,
104,40801,8,81140800801,420301,Noranco- Asilo Bagion- Mast 1,02.05.2019,06:37:12,06:36:30,-1,360936.64,0.35,0.39,,
104,40801,8,81140800801,420401,Noranco- Paese- Mast 1,02.05.2019,06:38:46,06:37:30,-1,360937.27,0.62,0.568,,
104,40801,8,81140800801,421201,Scairolo- Posteggio Nucleo- Mast 1,02.05.2019,06:41:18,06:40:30,-1,360938.44,1.05,0.668,,
104,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:43:26,06:43:30,0,360939.5,1.18,1.31,,
104,40801,8,81140800851,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:47:56,06:45:00,-3,360939.5,0,0,,
104,40801,8,81140800851,421001,Pazzallo- Senago Bassa- Mast 1,02.05.2019,06:49:20,06:47:00,-2,360940.22,0.72,0.754,,
104,40801,8,81140800851,420601,Pazzallo- Senago- Mast 1,02.05.2019,06:50:08,06:48:00,-2,360940.74,0.41,0.406,,
104,40801,8,81140800851,420701,Pazzallo- Scuole Fano- Mast 1,02.05.2019,06:50:36,06:48:30,-2,360940.93,0.29,0.17,,
104,40801,8,81140800852,420701,Pazzallo- Scuole Fano- Mast 1,02.05.2019,06:52:10,06:52:00,0,360941,0,0,M. Porte aperte,10
104,40801,8,81140800852,420602,Pazzallo- Senago- Mast 2,02.05.2019,06:52:44,06:52:30,0,360941.19,0.19,0.256,,
104,40801,8,81140800852,421002,Pazzallo- Senago Bassa- Mast 2,02.05.2019,06:53:22,06:53:30,0,360941.66,0.39,0.256,,
104,40801,8,81140800852,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:54:08,06:55:00,1,360941.93,0.34,0.517,,
104,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:01:58,07:00:00,-2,360942,0,0,M. Porte aperte,8
104,40801,8,81140800803,420101,Pambio- S. Pietro Chiesa- Mast 1,02.05.2019,07:02:54,07:01:30,-1,360942.45,0.45,0.431,,
104,40801,8,81140800803,420201,Pambio- Paese- Mast 1,02.05.2019,07:05:06,07:04:30,-1,360943.12,0.66,0.625,M. Porte aperte,10
104,40801,8,81140800803,420301,Noranco- Asilo Bagion- Mast 1,02.05.2019,07:06:10,07:06:30,0,360943.45,0.32,0.39,,
104,40801,8,81140800803,420401,Noranco- Paese- Mast 1,02.05.2019,07:08:06,07:07:30,-1,360944.08,0.63,0.568,M. Porte aperte,12
104,40801,8,81140800803,421201,Scairolo- Posteggio Nucleo- Mast 1,02.05.2019,07:10:44,07:10:30,0,360945.24,1.03,0.668,,
104,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:13:40,07:13:30,0,360946.31,1.19,1.31,,
104,40801,8,81140800853,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:17:48,07:15:00,-3,360946.38,0,0,M. Porte aperte,14
104,40801,8,81140800853,421001,Pazzallo- Senago Bassa- Mast 1,02.05.2019,07:19:30,07:17:00,-3,360947.03,0.64,0.754,,
104,40801,8,81140800853,420601,Pazzallo- Senago- Mast 1,02.05.2019,07:20:22,07:18:00,-2,360947.55,0.4,0.406,,
104,40801,8,81140800853,420701,Pazzallo- Scuole Fano- Mast 1,02.05.2019,07:20:50,07:18:30,-2,360947.73,0.29,0.17,,
104,40801,8,81140800854,420701,Pazzallo- Scuole Fano- Mast 1,02.05.2019,07:22:10,07:22:00,0,360947.8,0,0,M. Porte aperte,10
104,40801,8,81140800854,420602,Pazzallo- Senago- Mast 2,02.05.2019,07:22:44,07:22:30,0,360948,0.2,0.256,,
104,40801,8,81140800854,421002,Pazzallo- Senago Bassa- Mast 2,02.05.2019,07:23:22,07:23:30,0,360948.46,0.38,0.256,,
