VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,03.12.2018,06:30:48,06:30:00,-1,379447.73,0,0,,
105,40801,8,81140800801,420101,Pambio- S. Pietro Chiesa- Mast 1,03.12.2018,06:31:50,06:31:30,0,379448.24,0.51,0.431,,
105,40801,8,81140800801,420201,Pambio- Paese- Mast 1,03.12.2018,06:34:06,06:34:30,0,379448.87,0.63,0.625,,
105,40801,8,81140800801,420301,Noranco- Asilo Bagion- Mast 1,03.12.2018,06:37:10,06:36:30,-1,379449.23,0.36,0.39,,
105,40801,8,81140800801,420401,Noranco- Paese- Mast 1,03.12.2018,06:38:44,06:37:30,-1,379449.83,0.6,0.568,,
105,40801,8,81140800801,421201,Scairolo- Posteggio Nucleo- Mast 1,03.12.2018,06:41:24,06:40:30,-1,379451.01,1.07,0.668,,
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,03.12.2018,06:44:04,06:43:30,-1,379452.09,1.18,1.31,,
105,40801,8,81140800851,414601,Pazzallo- P&R Fornaci- Mast 1,03.12.2018,06:47:40,06:45:00,-3,379452.09,0,0,,
105,40801,8,81140800851,421001,Pazzallo- Senago Bassa- Mast 1,03.12.2018,06:49:20,06:47:00,-2,379452.79,0.7,0.754,,
105,40801,8,81140800851,420601,Pazzallo- Senago- Mast 1,03.12.2018,06:50:18,06:48:00,-2,379453.32,0.41,0.406,,
105,40801,8,81140800851,420701,Pazzallo- Scuole Fano- Mast 1,03.12.2018,06:50:46,06:48:30,-2,379453.5,0.28,0.17,,
105,40801,8,81140800852,420701,Pazzallo- Scuole Fano- Mast 1,03.12.2018,06:52:12,06:52:00,0,379453.5,0,0,,
105,40801,8,81140800852,420602,Pazzallo- Senago- Mast 2,03.12.2018,06:52:50,06:52:30,0,379453.77,0.27,0.256,,
105,40801,8,81140800852,421002,Pazzallo- Senago Bassa- Mast 2,03.12.2018,06:53:34,06:53:30,0,379454.23,0.39,0.256,,
105,40801,8,81140800852,414601,Pazzallo- P&R Fornaci- Mast 1,03.12.2018,06:54:40,06:55:00,0,379454.5,0.34,0.517,,
105,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,03.12.2018,07:01:22,07:00:00,-1,379454.5,0,0,,
105,40801,8,81140800803,420101,Pambio- S. Pietro Chiesa- Mast 1,03.12.2018,07:02:22,07:01:30,-1,379455.03,0.52,0.431,,
105,40801,8,81140800803,420201,Pambio- Paese- Mast 1,03.12.2018,07:04:58,07:04:30,0,379455.69,0.66,0.625,M. Porte aperte,2
105,40801,8,81140800803,420301,Noranco- Asilo Bagion- Mast 1,03.12.2018,07:06:08,07:06:30,0,379456.02,0.32,0.39,,
105,40801,8,81140800803,420401,Noranco- Paese- Mast 1,03.12.2018,07:07:52,07:07:30,0,379456.62,0.59,0.568,,
105,40801,8,81140800803,421201,Scairolo- Posteggio Nucleo- Mast 1,03.12.2018,07:10:32,07:10:30,0,379457.8,1.07,0.668,,
