VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
301,41301,S,81141300455,28011,TPL Rimessa Rugi' E,02.08.2019,06:54:24,06:55:30,1,599222.01,0,0,M. Porte aperte,674
301,41301,S,81141300455,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,06:57:08,07:01:30,4,599223.2,1.19,1.35,,
301,41301,S,81141300402,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:02:16,07:01:30,-1,599223.41,0,0,M. Porte aperte,222
301,41301,S,81141300402,405002,Lugano- Resega- Mast 2,02.08.2019,07:03:42,07:03:30,0,599223.62,0.21,0.263,,
305,41302,S,81141300458,28011,TPL Rimessa Rugi' E,02.08.2019,07:04:56,07:05:30,1,633679.85,0,,M. Porte aperte,484
301,41301,S,81141300402,404802,Lugano- Gerra- Mast 2,02.08.2019,07:05:02,07:05:00,0,599224.07,0.45,0.421,,
301,41301,S,81141300402,404702,Lugano- Cimitero- Mast 2,02.08.2019,07:06:26,07:06:00,0,599224.38,0.31,0.304,M. Porte aperte,12
301,41301,S,81141300402,402602,Lugano- Via Ginevra- Mast 2,02.08.2019,07:09:46,07:10:00,0,599225.85,1.43,1.41,M. Porte aperte,10
301,41301,S,81141300402,400102,Lugano- Centro- Mast 2,02.08.2019,07:10:40,07:11:30,1,599226.05,0.24,0.313,,
305,41302,S,81141300404,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:11:40,07:11:30,0,633680.18,0,,M. Porte aperte,320
305,41302,S,81141300404,405002,Lugano- Resega- Mast 2,02.08.2019,07:12:10,07:13:30,1,633680.39,0.21,0.263,,
305,41302,S,81141300404,404802,Lugano- Gerra- Mast 2,02.08.2019,07:14:22,07:15:00,1,633680.87,0.47,0.421,,
301,41301,S,81141300401,400102,Lugano- Centro- Mast 2,02.08.2019,07:15:24,07:13:00,-2,599226.09,0,0,M. Porte aperte,230
305,41302,S,81141300404,404702,Lugano- Cimitero- Mast 2,02.08.2019,07:15:52,07:16:00,0,633681.18,0.31,0.304,,
301,41301,S,81141300401,401302,Lugano- Autosilo- Mast 2,02.08.2019,07:16:30,07:15:00,-2,599226.45,0.36,0.382,,
303,41303,S,81141300462,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:18:44,07:21:30,3,624774.8,0,1.35,,
305,41302,S,81141300404,402602,Lugano- Via Ginevra- Mast 2,02.08.2019,07:19:14,07:20:00,1,633682.7,1.47,1.41,M. Porte aperte,12
301,41301,S,81141300401,404701,Lugano- Cimitero- Mast 1,02.08.2019,07:19:28,07:19:00,0,599227.89,1.44,1.416,,
301,41301,S,81141300401,404801,Lugano- Gerra- Mast 1,02.08.2019,07:20:04,07:20:00,0,599228.19,0.3,0.278,,
305,41302,S,81141300404,400102,Lugano- Centro- Mast 2,02.08.2019,07:20:18,07:21:30,1,633682.9,0.24,0.313,,
301,41301,S,81141300401,405001,Lugano- Resega- Mast 1,02.08.2019,07:21:52,07:21:00,-1,599228.69,0.43,0.411,M. Porte aperte,8
301,41301,S,81141300401,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:22:10,07:23:00,1,599228.85,0.22,0.443,,
303,41303,S,81141300406,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:22:40,07:21:30,-1,624774.99,0,0,M. Porte aperte,54
303,41303,S,81141300406,405002,Lugano- Resega- Mast 2,02.08.2019,07:23:44,07:23:30,0,624775.22,0.22,0.263,,
303,41303,S,81141300406,404802,Lugano- Gerra- Mast 2,02.08.2019,07:25:10,07:25:00,0,624775.69,0.47,0.421,,
305,41302,S,81141300403,400102,Lugano- Centro- Mast 2,02.08.2019,07:25:24,07:23:00,-2,633682.98,0,0,M. Porte aperte,226
303,41303,S,81141300406,404702,Lugano- Cimitero- Mast 2,02.08.2019,07:26:04,07:26:00,0,624776.01,0.31,0.304,M. Porte aperte,12
305,41302,S,81141300403,401302,Lugano- Autosilo- Mast 2,02.08.2019,07:27:36,07:25:00,-3,633683.32,0.34,0.382,,
303,41303,S,81141300406,402602,Lugano- Via Ginevra- Mast 2,02.08.2019,07:29:50,07:30:00,0,624777.52,1.46,1.41,M. Porte aperte,8
303,41303,S,81141300406,400102,Lugano- Centro- Mast 2,02.08.2019,07:30:30,07:31:30,1,624777.72,0.24,0.313,,
305,41302,S,81141300403,404701,Lugano- Cimitero- Mast 1,02.08.2019,07:31:32,07:29:00,-3,633684.8,1.48,1.416,,
301,41301,S,81141300408,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:32:12,07:31:30,-1,599229.05,0,0,M. Porte aperte,526
305,41302,S,81141300403,404801,Lugano- Gerra- Mast 1,02.08.2019,07:32:38,07:30:00,-3,633685.11,0.3,0.278,,
301,41301,S,81141300408,405002,Lugano- Resega- Mast 2,02.08.2019,07:33:36,07:33:30,0,599229.27,0.22,0.263,,
305,41302,S,81141300403,405001,Lugano- Resega- Mast 1,02.08.2019,07:34:22,07:31:00,-3,633685.63,0.43,0.411,,
305,41302,S,81141300403,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:34:40,07:33:00,-2,633685.81,0.26,0.443,,
301,41301,S,81141300408,404802,Lugano- Gerra- Mast 2,02.08.2019,07:35:02,07:35:00,0,599229.73,0.46,0.421,,
303,41303,S,81141300405,400102,Lugano- Centro- Mast 2,02.08.2019,07:36:00,07:33:00,-3,624777.77,0,0,M. Porte aperte,88
301,41301,S,81141300408,404702,Lugano- Cimitero- Mast 2,02.08.2019,07:36:18,07:36:00,0,599230.03,0.29,0.304,M. Porte aperte,8
303,41303,S,81141300405,401302,Lugano- Autosilo- Mast 2,02.08.2019,07:36:48,07:35:00,-2,624778.13,0.36,0.382,,
303,41303,S,81141300405,404701,Lugano- Cimitero- Mast 1,02.08.2019,07:39:24,07:39:00,0,624779.61,1.47,1.416,,
303,41303,S,81141300405,404801,Lugano- Gerra- Mast 1,02.08.2019,07:40:08,07:40:00,0,624779.92,0.31,0.278,,
301,41301,S,81141300408,402602,Lugano- Via Ginevra- Mast 2,02.08.2019,07:40:24,07:40:00,0,599231.5,1.43,1.41,M. Porte aperte,16
303,41303,S,81141300405,405001,Lugano- Resega- Mast 1,02.08.2019,07:41:08,07:41:00,0,624780.46,0.44,0.411,,
301,41301,S,81141300408,400102,Lugano- Centro- Mast 2,02.08.2019,07:41:22,07:41:30,0,599231.7,0.24,0.313,,
303,41303,S,81141300405,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:41:24,07:43:00,2,624780.62,0.24,0.443,,
305,41302,S,81141300410,412402,Lugano- Pista Ghiaccio- Mast 2,02.08.2019,07:41:48,07:41:30,0,633686,0,0,M. Porte aperte,380
305,41302,S,81141300410,405002,Lugano- Resega- Mast 2,02.08.2019,07:43:08,07:43:30,0,633686.22,0.21,0.263,,
305,41302,S,81141300410,404802,Lugano- Gerra- Mast 2,02.08.2019,07:44:40,07:45:00,0,633686.69,0.47,0.421,,
305,41302,S,81141300410,404702,Lugano- Cimitero- Mast 2,02.08.2019,07:45:56,07:46:00,0,633687,0.31,0.304,M. Porte aperte,20
301,41301,S,81141300407,400102,Lugano- Centro- Mast 2,02.08.2019,07:47:12,07:43:00,-4,599231.73,0,0,M. Porte aperte,260
301,41301,S,81141300407,401302,Lugano- Autosilo- Mast 2,02.08.2019,07:48:34,07:45:00,-4,599232.08,0.35,0.382,,
