VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,06:31:04,06:30:00,-1,398661.42,0,,M. Porte aperte,4
105,40801,8,81140800801,420101,Pambio- S. Pietro Chiesa- Mast 1,02.09.2019,06:32:06,06:31:30,-1,398661.93,0.51,0.431,,
105,40801,8,81140800801,420201,Pambio- Paese- Mast 1,02.09.2019,06:34:10,06:34:30,0,398662.55,0.62,0.625,,
105,40801,8,81140800801,420301,Noranco- Asilo Bagion- Mast 1,02.09.2019,06:36:38,06:36:30,0,398662.91,0.36,0.39,,
105,40801,8,81140800801,420401,Noranco- Paese- Mast 1,02.09.2019,06:38:24,06:37:30,-1,398663.5,0.59,0.568,,
105,40801,8,81140800801,421201,Scairolo- Posteggio Nucleo- Mast 1,02.09.2019,06:40:58,06:40:30,0,398664.7,1.07,0.668,,
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,06:43:06,06:43:30,0,398665.75,1.17,1.31,,
105,40801,8,81140800851,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,06:47:52,06:45:00,-3,398665.75,0,0,,
105,40801,8,81140800851,421001,Pazzallo- Senago Bassa- Mast 1,02.09.2019,06:49:32,06:47:00,-3,398666.47,0.72,0.754,,
105,40801,8,81140800851,420601,Pazzallo- Senago- Mast 1,02.09.2019,06:50:26,06:48:00,-2,398666.98,0.4,0.406,,
105,40801,8,81140800851,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,06:50:54,06:48:30,-2,398667.16,0.28,0.17,,
105,40801,8,81140800852,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,06:52:10,06:52:00,0,398667.16,0,0,,
105,40801,8,81140800852,420602,Pazzallo- Senago- Mast 2,02.09.2019,06:52:42,06:52:30,0,398667.43,0.27,0.256,,
105,40801,8,81140800852,421002,Pazzallo- Senago Bassa- Mast 2,02.09.2019,06:53:18,06:53:30,0,398667.89,0.38,0.256,,
105,40801,8,81140800852,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,06:54:12,06:55:00,1,398668.17,0.35,0.517,,
105,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:01:30,07:00:00,-2,398668.17,0,0,,
105,40801,8,81140800803,420101,Pambio- S. Pietro Chiesa- Mast 1,02.09.2019,07:02:20,07:01:30,-1,398668.69,0.52,0.431,,
105,40801,8,81140800803,420201,Pambio- Paese- Mast 1,02.09.2019,07:04:10,07:04:30,0,398669.32,0.62,0.625,,
105,40801,8,81140800803,420301,Noranco- Asilo Bagion- Mast 1,02.09.2019,07:07:50,07:06:30,-1,398669.68,0.36,0.39,,
105,40801,8,81140800803,420401,Noranco- Paese- Mast 1,02.09.2019,07:09:36,07:07:30,-2,398670.27,0.59,0.568,,
105,40801,8,81140800803,421201,Scairolo- Posteggio Nucleo- Mast 1,02.09.2019,07:12:16,07:10:30,-2,398671.45,1.06,0.668,,
105,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:14:20,07:13:30,-1,398672.51,1.17,1.31,,
105,40801,8,81140800853,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:17:36,07:15:00,-3,398672.59,0,0,M. Porte aperte,4
105,40801,8,81140800853,421001,Pazzallo- Senago Bassa- Mast 1,02.09.2019,07:19:14,07:17:00,-2,398673.23,0.64,0.754,,
105,40801,8,81140800853,420601,Pazzallo- Senago- Mast 1,02.09.2019,07:20:08,07:18:00,-2,398673.74,0.4,0.406,,
105,40801,8,81140800853,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,07:20:36,07:18:30,-2,398673.92,0.28,0.17,,
105,40801,8,81140800854,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,07:22:10,07:22:00,0,398674,0,0,M. Porte aperte,2
105,40801,8,81140800854,420602,Pazzallo- Senago- Mast 2,02.09.2019,07:22:42,07:22:30,0,398674.19,0.19,0.256,,
105,40801,8,81140800854,421002,Pazzallo- Senago Bassa- Mast 2,02.09.2019,07:23:20,07:23:30,0,398674.65,0.38,0.256,,
105,40801,8,81140800854,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:24:06,07:25:00,1,398674.92,0.34,0.517,,
105,40801,8,81140800805,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:31:38,07:30:00,-2,398675,0,0,M. Porte aperte,2
105,40801,8,81140800805,420101,Pambio- S. Pietro Chiesa- Mast 1,02.09.2019,07:32:36,07:31:30,-1,398675.45,0.45,0.431,,
105,40801,8,81140800805,420201,Pambio- Paese- Mast 1,02.09.2019,07:34:28,07:34:30,0,398676.08,0.62,0.625,,
105,40801,8,81140800805,420301,Noranco- Asilo Bagion- Mast 1,02.09.2019,07:37:16,07:36:30,-1,398676.43,0.35,0.39,,
105,40801,8,81140800805,420401,Noranco- Paese- Mast 1,02.09.2019,07:38:44,07:37:30,-1,398677.03,0.6,0.568,,
105,40801,8,81140800805,421201,Scairolo- Posteggio Nucleo- Mast 1,02.09.2019,07:41:46,07:40:30,-1,398678.22,1.07,0.668,,
105,40801,8,81140800805,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:44:00,07:43:30,0,398679.28,1.17,1.31,,
105,40801,8,81140800855,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:48:36,07:45:00,-4,398679.28,0,0,,
105,40801,8,81140800855,421001,Pazzallo- Senago Bassa- Mast 1,02.09.2019,07:50:26,07:47:00,-3,398679.99,0.71,0.754,,
105,40801,8,81140800855,420601,Pazzallo- Senago- Mast 1,02.09.2019,07:51:20,07:48:00,-3,398680.51,0.4,0.406,,
105,40801,8,81140800855,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,07:51:46,07:48:30,-3,398680.68,0.27,0.17,,
105,40801,8,81140800856,420701,Pazzallo- Scuole Fano- Mast 1,02.09.2019,07:52:32,07:52:00,-1,398680.74,0,0,M. Porte aperte,6
105,40801,8,81140800856,420602,Pazzallo- Senago- Mast 2,02.09.2019,07:53:04,07:52:30,-1,398680.94,0.19,0.256,,
105,40801,8,81140800856,421002,Pazzallo- Senago Bassa- Mast 2,02.09.2019,07:53:42,07:53:30,0,398681.4,0.38,0.256,,
105,40801,8,81140800856,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,07:54:28,07:55:00,1,398681.67,0.34,0.517,,
105,40801,8,81140800807,414601,Pazzallo- P&R Fornaci- Mast 1,02.09.2019,08:01:54,08:00:00,-2,398681.67,0,0,,
105,40801,8,81140800807,420101,Pambio- S. Pietro Chiesa- Mast 1,02.09.2019,08:02:44,08:01:30,-1,398682.2,0.52,0.431,,
105,40801,8,81140800807,420201,Pambio- Paese- Mast 1,02.09.2019,08:04:30,08:04:30,0,398682.83,0.62,0.625,,
