VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
309,41301,S,81141300455,28011,TPL Rimessa Rugi' E,03.12.2018,06:57:42,06:55:30,-2,561494.74,0,0,,
309,41301,S,81141300455,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,06:58:30,07:01:30,3,561495.01,0.26,1.35,,
309,41301,S,81141300402,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:02:26,07:01:30,-1,561495.04,0,0,M. Porte aperte,86
312,41302,S,81141300458,28011,TPL Rimessa Rugi' E,03.12.2018,07:03:38,07:05:30,2,594336.37,0,,M. Porte aperte,14
309,41301,S,81141300402,405002,Lugano- Resega- Mast 2,03.12.2018,07:04:10,07:03:30,-1,561495.27,0.22,0.263,,
309,41301,S,81141300402,404802,Lugano- Gerra- Mast 2,03.12.2018,07:05:06,07:05:00,0,561495.73,0.46,0.421,,
309,41301,S,81141300402,404702,Lugano- Cimitero- Mast 2,03.12.2018,07:06:02,07:06:00,0,561496.04,0.3,0.304,M. Porte aperte,10
309,41301,S,81141300402,402602,Lugano- Via Ginevra- Mast 2,03.12.2018,07:09:38,07:10:00,0,561497.53,1.44,1.41,M. Porte aperte,8
309,41301,S,81141300402,400102,Lugano- Centro- Mast 2,03.12.2018,07:10:50,07:11:30,1,561497.72,0.24,0.313,,
312,41302,S,81141300404,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:11:54,07:11:30,0,594337.81,0,0,M. Porte aperte,124
312,41302,S,81141300404,405002,Lugano- Resega- Mast 2,03.12.2018,07:13:18,07:13:30,0,594338.03,0.21,0.263,,
309,41301,S,81141300401,400102,Lugano- Centro- Mast 2,03.12.2018,07:13:46,07:13:00,-1,561497.77,0,0,M. Porte aperte,48
309,41301,S,81141300401,401302,Lugano- Autosilo- Mast 2,03.12.2018,07:15:26,07:15:00,0,561498.11,0.33,0.382,,
312,41302,S,81141300404,404802,Lugano- Gerra- Mast 2,03.12.2018,07:15:34,07:15:00,-1,594338.5,0.46,0.421,,
312,41302,S,81141300404,404702,Lugano- Cimitero- Mast 2,03.12.2018,07:16:42,07:16:00,-1,594338.82,0.32,0.304,M. Porte aperte,10
309,41301,S,81141300401,404701,Lugano- Cimitero- Mast 1,03.12.2018,07:18:36,07:19:00,0,561499.58,1.47,1.416,,
309,41301,S,81141300401,404801,Lugano- Gerra- Mast 1,03.12.2018,07:19:48,07:20:00,0,561499.89,0.31,0.278,M. Porte aperte,12
306,41303,S,81141300462,28011,TPL Rimessa Rugi' E,03.12.2018,07:20:18,07:15:30,-5,585746.33,0,0,M. Porte aperte,24
306,41303,S,81141300462,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:20:18,07:21:30,1,585746.32,0.22,1.35,,
312,41302,S,81141300404,402602,Lugano- Via Ginevra- Mast 2,03.12.2018,07:21:16,07:20:00,-1,594340.32,1.45,1.41,M. Porte aperte,14
306,41303,S,81141300406,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:22:04,07:21:30,-1,585746.52,0,0,M. Porte aperte,24
312,41302,S,81141300404,400102,Lugano- Centro- Mast 2,03.12.2018,07:22:10,07:21:30,-1,594340.52,0.24,0.313,,
309,41301,S,81141300401,405001,Lugano- Resega- Mast 1,03.12.2018,07:22:44,07:21:00,-2,561500.38,0.41,0.411,,
309,41301,S,81141300401,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:23:06,07:23:00,0,561500.56,0.25,0.443,,
306,41303,S,81141300406,405002,Lugano- Resega- Mast 2,03.12.2018,07:23:50,07:23:30,0,585746.73,0.21,0.263,,
312,41302,S,81141300403,400102,Lugano- Centro- Mast 2,03.12.2018,07:23:52,07:23:00,-1,594340.58,0,,M. Porte aperte,32
312,41302,S,81141300403,401302,Lugano- Autosilo- Mast 2,03.12.2018,07:25:12,07:25:00,0,594340.97,0.39,0.382,M. Porte aperte,12
306,41303,S,81141300406,404802,Lugano- Gerra- Mast 2,03.12.2018,07:25:26,07:25:00,0,585747.2,0.47,0.421,,
306,41303,S,81141300406,404702,Lugano- Cimitero- Mast 2,03.12.2018,07:26:32,07:26:00,-1,585747.52,0.31,0.304,M. Porte aperte,12
312,41302,S,81141300403,404701,Lugano- Cimitero- Mast 1,03.12.2018,07:29:04,07:29:00,0,594342.45,1.48,1.416,M. Porte aperte,10
312,41302,S,81141300403,404801,Lugano- Gerra- Mast 1,03.12.2018,07:30:04,07:30:00,0,594342.72,0.27,0.278,M. Porte aperte,6
306,41303,S,81141300406,402602,Lugano- Via Ginevra- Mast 2,03.12.2018,07:30:40,07:30:00,-1,585749.02,1.44,1.41,M. Porte aperte,10
306,41303,S,81141300406,400102,Lugano- Centro- Mast 2,03.12.2018,07:31:14,07:31:30,0,585749.16,0.2,0.313,,
312,41302,S,81141300403,405001,Lugano- Resega- Mast 1,03.12.2018,07:32:52,07:31:00,-2,594343.23,0.41,0.411,,
309,41301,S,81141300408,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:33:04,07:31:30,-2,561500.76,0,0,M. Porte aperte,114
312,41302,S,81141300403,412402,Lugano- Pista Ghiaccio- Mast 2,03.12.2018,07:33:14,07:33:00,0,594343.39,0.25,0.443,,
306,41303,S,81141300405,400102,Lugano- Centro- Mast 2,03.12.2018,07:34:52,07:33:00,-2,585749.27,0,0,M. Porte aperte,20
309,41301,S,81141300408,405002,Lugano- Resega- Mast 2,03.12.2018,07:35:02,07:33:30,-2,561500.97,0.21,0.263,,
306,41303,S,81141300405,401302,Lugano- Autosilo- Mast 2,03.12.2018,07:36:28,07:35:00,-1,585749.56,0.29,0.382,,
309,41301,S,81141300408,404802,Lugano- Gerra- Mast 2,03.12.2018,07:36:46,07:35:00,-2,561501.45,0.47,0.421,M. Porte aperte,8
309,41301,S,81141300408,404702,Lugano- Cimitero- Mast 2,03.12.2018,07:37:44,07:36:00,-2,561501.75,0.3,0.304,M. Porte aperte,14
306,41303,S,81141300405,404701,Lugano- Cimitero- Mast 1,03.12.2018,07:39:38,07:39:00,-1,585751.1,1.53,1.416,M. Porte aperte,8
