VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
301,41301,S,81141300455,28011,TPL Rimessa Rugi' E,01.10.2019,06:59:22,06:55:30,-4,607381.28,0,0,M. Porte aperte,48
301,41301,S,81141300455,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:01:56,07:01:30,0,607382.41,1.13,1.35,,
301,41301,S,81141300402,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:02:56,07:01:30,-1,607382.6,0,0,M. Porte aperte,14
301,41301,S,81141300402,405002,Lugano- Resega- Mast 2,01.10.2019,07:04:24,07:03:30,-1,607382.81,0.21,0.263,,
301,41301,S,81141300402,404802,Lugano- Gerra- Mast 2,01.10.2019,07:05:36,07:05:00,-1,607383.27,0.46,0.421,,
301,41301,S,81141300402,404702,Lugano- Cimitero- Mast 2,01.10.2019,07:07:04,07:06:00,-1,607383.59,0.31,0.304,M. Porte aperte,14
311,41302,S,81141300458,28011,TPL Rimessa Rugi' E,01.10.2019,07:08:00,07:05:30,-3,598056.64,0,0,M. Porte aperte,0
311,41302,S,81141300458,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:10:38,07:11:30,1,598057.52,1.16,1.35,,
301,41301,S,81141300402,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,07:10:50,07:10:00,-1,607385.07,1.43,1.41,M. Porte aperte,10
301,41301,S,81141300402,400102,Lugano- Centro- Mast 2,01.10.2019,07:11:48,07:11:30,0,607385.26,0.24,0.313,,
311,41302,S,81141300404,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:11:58,07:11:30,0,598057.72,0,0,R. Porte aperte,270
311,41302,S,81141300404,405002,Lugano- Resega- Mast 2,01.10.2019,07:12:38,07:13:30,1,598057.94,0.21,0.263,M. Porte aperte,68
311,41302,S,81141300404,404802,Lugano- Gerra- Mast 2,01.10.2019,07:15:16,07:15:00,0,598058.4,0.46,0.421,M. Porte aperte,100
301,41301,S,81141300401,400102,Lugano- Centro- Mast 2,01.10.2019,07:15:20,07:13:00,-2,607385.29,0,0,M. Porte aperte,32
305,41301,S,81141300455,28011,TPL Rimessa Rugi' E,01.10.2019,07:16:06,06:55:30,-21,67409.15,0,,,
311,41302,S,81141300404,404702,Lugano- Cimitero- Mast 2,01.10.2019,07:16:56,07:16:00,-1,598058.71,0.31,0.304,M. Porte aperte,208
301,41301,S,81141300401,401302,Lugano- Autosilo- Mast 2,01.10.2019,07:17:08,07:15:00,-2,607385.65,0.35,0.382,,
305,41301,S,81141300455,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:19:18,07:01:30,-18,67410.38,1.22,1.35,,
301,41301,S,81141300401,404701,Lugano- Cimitero- Mast 1,01.10.2019,07:19:54,07:19:00,-1,607387.11,1.46,1.416,,
301,41301,S,81141300401,404801,Lugano- Gerra- Mast 1,01.10.2019,07:20:26,07:20:00,0,607387.41,0.3,0.278,,
311,41302,S,81141300404,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,07:21:02,07:20:00,-1,598060.15,1.44,1.41,M. Porte aperte,216
311,41302,S,81141300404,400102,Lugano- Centro- Mast 2,01.10.2019,07:21:52,07:21:30,0,598060.4,0.24,0.313,,
305,41301,S,81141300402,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:21:56,07:01:30,-20,67410.38,0,,,
301,41301,S,81141300401,405001,Lugano- Resega- Mast 1,01.10.2019,07:22:34,07:21:00,-2,607387.9,0.41,0.411,,
301,41301,S,81141300401,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:22:56,07:23:00,0,607388.07,0.25,0.443,,
305,41301,S,81141300402,405002,Lugano- Resega- Mast 2,01.10.2019,07:23:36,07:03:30,-20,67410.8,0.42,0.263,,
311,41302,S,81141300403,400102,Lugano- Centro- Mast 2,01.10.2019,07:24:38,07:23:00,-2,598060.44,0,0,M. Porte aperte,122
305,41301,S,81141300402,404802,Lugano- Gerra- Mast 2,01.10.2019,07:26:16,07:05:00,-21,67411.27,0.46,0.421,,
311,41302,S,81141300403,401302,Lugano- Autosilo- Mast 2,01.10.2019,07:26:34,07:25:00,-2,598060.8,0.36,0.382,,
311,41302,S,81141300403,404701,Lugano- Cimitero- Mast 1,01.10.2019,07:29:16,07:29:00,0,598062.28,1.48,1.416,M. Porte aperte,376
311,41302,S,81141300403,404801,Lugano- Gerra- Mast 1,01.10.2019,07:30:00,07:30:00,0,598062.57,0.28,0.278,M. Porte aperte,40
301,41301,S,81141300408,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:31:12,07:31:30,0,607388.26,0,0,M. Porte aperte,146
311,41302,S,81141300403,405001,Lugano- Resega- Mast 1,01.10.2019,07:31:36,07:31:00,-1,598063.06,0.4,0.411,,
305,41303,S,81141300406,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,07:31:52,07:30:00,-2,67413.08,0,1.41,,
311,41302,S,81141300403,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:31:52,07:33:00,1,598063.22,0.25,0.443,,
301,41301,S,81141300408,405002,Lugano- Resega- Mast 2,01.10.2019,07:32:44,07:33:30,1,607388.47,0.21,0.263,,
305,41303,S,81141300406,400102,Lugano- Centro- Mast 2,01.10.2019,07:32:48,07:31:30,-1,67413.31,0.22,0.313,,
305,41303,S,81141300405,400102,Lugano- Centro- Mast 2,01.10.2019,07:34:06,07:33:00,-1,67413.31,0,0,,
301,41301,S,81141300408,404802,Lugano- Gerra- Mast 2,01.10.2019,07:35:16,07:35:00,0,607388.95,0.47,0.421,M. Porte aperte,14
305,41303,S,81141300405,401302,Lugano- Autosilo- Mast 2,01.10.2019,07:35:38,07:35:00,-1,67413.7,0.39,0.382,,
301,41301,S,81141300408,404702,Lugano- Cimitero- Mast 2,01.10.2019,07:36:22,07:36:00,0,607389.25,0.3,0.304,M. Porte aperte,10
305,41303,S,81141300405,404701,Lugano- Cimitero- Mast 1,01.10.2019,07:38:34,07:39:00,0,67415.19,1.48,1.416,,
305,41303,S,81141300405,404801,Lugano- Gerra- Mast 1,01.10.2019,07:40:16,07:40:00,0,67415.49,0.3,0.278,,
301,41301,S,81141300408,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,07:41:30,07:40:00,-2,607390.72,1.43,1.41,M. Porte aperte,12
305,41303,S,81141300405,405001,Lugano- Resega- Mast 1,01.10.2019,07:42:18,07:41:00,-1,67416.02,0.43,0.411,,
305,41303,S,81141300405,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:42:36,07:43:00,0,67416.19,0.26,0.443,,
301,41301,S,81141300408,400102,Lugano- Centro- Mast 2,01.10.2019,07:42:38,07:41:30,-1,607390.92,0.24,0.313,,
311,41302,S,81141300410,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:43:10,07:41:30,-2,598063.42,0,0,M. Porte aperte,584
301,41301,S,81141300407,400102,Lugano- Centro- Mast 2,01.10.2019,07:43:22,07:43:00,0,607390.99,0,0,M. Porte aperte,16
301,41301,S,81141300407,401302,Lugano- Autosilo- Mast 2,01.10.2019,07:44:16,07:45:00,1,607391.31,0.31,0.382,,
311,41302,S,81141300410,405002,Lugano- Resega- Mast 2,01.10.2019,07:44:36,07:43:30,-1,598063.63,0.21,0.263,,
311,41302,S,81141300410,404802,Lugano- Gerra- Mast 2,01.10.2019,07:46:14,07:45:00,-1,598064.11,0.47,0.421,M. Porte aperte,122
301,41301,S,81141300407,404701,Lugano- Cimitero- Mast 1,01.10.2019,07:47:24,07:49:00,2,607392.75,1.44,1.416,,
311,41302,S,81141300410,404702,Lugano- Cimitero- Mast 2,01.10.2019,07:47:36,07:46:00,-2,598064.41,0.3,0.304,M. Porte aperte,68
301,41301,S,81141300407,404801,Lugano- Gerra- Mast 1,01.10.2019,07:48:02,07:50:00,2,607393.05,0.3,0.278,,
301,41301,S,81141300407,405001,Lugano- Resega- Mast 1,01.10.2019,07:49:54,07:51:00,1,607393.56,0.43,0.411,,
301,41301,S,81141300407,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:50:16,07:53:00,3,607393.73,0.25,0.443,,
311,41302,S,81141300410,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,07:50:44,07:50:00,-1,598065.9,1.43,1.41,M. Porte aperte,188
311,41302,S,81141300410,400102,Lugano- Centro- Mast 2,01.10.2019,07:51:48,07:51:30,0,598066.1,0.24,0.313,,
305,41303,S,81141300412,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,07:52:18,07:51:30,-1,67416.19,0,0,,
305,41303,S,81141300412,405002,Lugano- Resega- Mast 2,01.10.2019,07:53:34,07:53:30,0,67416.61,0.42,0.263,,
305,41303,S,81141300412,404802,Lugano- Gerra- Mast 2,01.10.2019,07:56:18,07:55:00,-1,67417.08,0.46,0.421,,
311,41302,S,81141300409,400102,Lugano- Centro- Mast 2,01.10.2019,07:57:04,07:53:00,-4,598066.17,0,0,M. Porte aperte,292
305,41303,S,81141300412,404702,Lugano- Cimitero- Mast 2,01.10.2019,07:57:46,07:56:00,-2,67417.39,0.3,0.304,,
311,41302,S,81141300409,401302,Lugano- Autosilo- Mast 2,01.10.2019,07:58:50,07:55:00,-4,598066.49,0.32,0.382,,
301,41301,S,81141300414,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:01:14,08:01:30,0,607393.92,0,0,M. Porte aperte,138
301,41301,S,81141300414,405002,Lugano- Resega- Mast 2,01.10.2019,08:02:10,08:03:30,1,607394.14,0.22,0.263,,
311,41302,S,81141300409,404701,Lugano- Cimitero- Mast 1,01.10.2019,08:02:34,07:59:00,-4,598067.98,1.49,1.416,M. Porte aperte,324
305,41303,S,81141300412,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,08:03:12,08:00:00,-3,67418.92,1.44,1.41,,
311,41302,S,81141300409,404801,Lugano- Gerra- Mast 1,01.10.2019,08:03:14,08:00:00,-3,598068.25,0.26,0.278,,
311,41302,S,81141300409,405001,Lugano- Resega- Mast 1,01.10.2019,08:04:24,08:01:00,-3,598068.76,0.41,0.411,,
301,41301,S,81141300414,404802,Lugano- Gerra- Mast 2,01.10.2019,08:04:34,08:05:00,0,607394.59,0.45,0.421,,
311,41302,S,81141300409,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:04:42,08:03:00,-2,598068.92,0.25,0.443,,
305,41303,S,81141300412,400102,Lugano- Centro- Mast 2,01.10.2019,08:05:12,08:01:30,-4,67419.11,0.27,0.313,,
301,41301,S,81141300414,404702,Lugano- Cimitero- Mast 2,01.10.2019,08:06:30,08:06:00,0,607394.9,0.31,0.304,M. Porte aperte,10
305,41303,S,81141300411,400102,Lugano- Centro- Mast 2,01.10.2019,08:07:18,08:03:00,-4,67419.11,0,0,,
305,41303,S,81141300411,401302,Lugano- Autosilo- Mast 2,01.10.2019,08:08:40,08:05:00,-4,67419.52,0.41,0.382,,
301,41301,S,81141300414,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,08:11:24,08:10:00,-1,607396.37,1.43,1.41,M. Porte aperte,12
305,41303,S,81141300411,404701,Lugano- Cimitero- Mast 1,01.10.2019,08:12:26,08:09:00,-3,67421,1.47,1.416,,
301,41301,S,81141300414,400102,Lugano- Centro- Mast 2,01.10.2019,08:12:44,08:11:30,-1,607396.57,0.24,0.313,,
311,41302,S,81141300416,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:12:52,08:11:30,-1,598069.12,0,0,M. Porte aperte,450
305,41303,S,81141300411,404801,Lugano- Gerra- Mast 1,01.10.2019,08:13:14,08:10:00,-3,67421.31,0.3,0.278,,
305,41303,S,81141300411,405001,Lugano- Resega- Mast 1,01.10.2019,08:14:14,08:11:00,-3,67421.83,0.43,0.411,,
301,41301,S,81141300413,400102,Lugano- Centro- Mast 2,01.10.2019,08:14:20,08:13:00,-1,607396.65,0,0,M. Porte aperte,16
305,41303,S,81141300411,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:14:28,08:13:00,-1,67421.99,0.25,0.443,,
311,41302,S,81141300416,405002,Lugano- Resega- Mast 2,01.10.2019,08:14:34,08:13:30,-1,598069.34,0.21,0.263,,
301,41301,S,81141300413,401302,Lugano- Autosilo- Mast 2,01.10.2019,08:15:52,08:15:00,-1,607397.01,0.36,0.382,M. Porte aperte,10
311,41302,S,81141300416,404802,Lugano- Gerra- Mast 2,01.10.2019,08:16:20,08:15:00,-1,598069.81,0.47,0.421,M. Porte aperte,132
311,41302,S,81141300416,404702,Lugano- Cimitero- Mast 2,01.10.2019,08:17:30,08:16:00,-2,598070.1,0.29,0.304,,
301,41301,S,81141300413,404701,Lugano- Cimitero- Mast 1,01.10.2019,08:20:08,08:19:00,-1,607398.45,1.44,1.416,M. Porte aperte,8
301,41301,S,81141300413,404801,Lugano- Gerra- Mast 1,01.10.2019,08:21:04,08:20:00,-1,607398.73,0.27,0.278,M. Porte aperte,12
305,41303,S,81141300418,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:22:16,08:21:30,-1,67421.99,0,0,,
311,41302,S,81141300416,402602,Lugano- Via Ginevra- Mast 2,01.10.2019,08:22:34,08:20:00,-3,598071.6,1.45,1.41,M. Porte aperte,298
301,41301,S,81141300413,405001,Lugano- Resega- Mast 1,01.10.2019,08:23:08,08:21:00,-2,607399.22,0.41,0.411,,
301,41301,S,81141300413,412402,Lugano- Pista Ghiaccio- Mast 2,01.10.2019,08:23:30,08:23:00,0,607399.38,0.24,0.443,,
305,41303,S,81141300418,405002,Lugano- Resega- Mast 2,01.10.2019,08:24:04,08:23:30,-1,67422.41,0.42,0.263,,
311,41302,S,81141300416,400102,Lugano- Centro- Mast 2,01.10.2019,08:24:08,08:21:30,-3,598071.8,0.24,0.313,,
311,41302,S,81141300415,400102,Lugano- Centro- Mast 2,01.10.2019,08:25:02,08:23:00,-2,598071.87,0,0,M. Porte aperte,188
