VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
306,41701,F,81141700753,28011,TPL Rimessa Rugi' E,02.05.2019,06:03:46,06:00:00,-4,608629,0,0,M. Porte aperte,96
312,41702,F,81141700755,28011,TPL Rimessa Rugi' E,02.05.2019,06:15:18,06:15:00,0,610899.67,0,0,,
306,41701,F,81141700701,400105,Lugano- Centro- Mast 5,02.05.2019,06:15:52,06:15:00,-1,608632.55,0,0,M. Porte aperte,352
306,41701,F,81141700701,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,06:17:16,06:17:00,0,608633.14,0.59,0.347,,
306,41701,F,81141700701,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,06:18:26,06:19:00,1,608633.73,0.58,0.507,,
306,41701,F,81141700701,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,06:19:58,06:22:00,2,608634.51,0.72,0.72,M. Porte aperte,10
306,41701,F,81141700701,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:23:32,06:27:00,3,608636.15,1.68,1.66,,
306,41701,F,81141700702,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:31:28,06:30:00,-1,608636.19,0,0,M. Porte aperte,140
312,41702,F,81141700703,400105,Lugano- Centro- Mast 5,02.05.2019,06:32:00,06:30:00,-2,610903.21,0,0,M. Porte aperte,350
312,41702,F,81141700703,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,06:33:46,06:32:00,-2,610903.81,0.59,0.347,,
306,41701,F,81141700702,400706,Paradiso- Debarcadero- Mast 6,02.05.2019,06:34:30,06:35:00,0,608637.81,1.62,1.65,,
312,41702,F,81141700703,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,06:35:10,06:34:00,-1,610904.41,0.59,0.507,,
306,41701,F,81141700702,401002,Lugano- Piazza Luini- Mast 2,02.05.2019,06:35:42,06:37:30,2,608638.57,0.75,0.769,,
306,41701,F,81141700702,402402,Lugano- Piazza Manzoni- Mast 2,02.05.2019,06:36:50,06:40:00,3,608639.24,0.63,0.604,M. Porte aperte,12
312,41702,F,81141700703,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,06:36:54,06:37:00,0,610905.17,0.73,0.72,M. Porte aperte,12
306,41701,F,81141700702,400105,Lugano- Centro- Mast 5,02.05.2019,06:37:30,06:41:00,4,608639.52,0.32,0.33,,
312,41702,F,81141700703,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:40:18,06:42:00,2,610906.83,1.69,1.66,,
306,41701,F,81141700705,400105,Lugano- Centro- Mast 5,02.05.2019,06:46:04,06:45:00,-1,608639.57,0,0,M. Porte aperte,82
312,41702,F,81141700704,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:46:12,06:45:00,-1,610906.88,0,0,M. Porte aperte,80
306,41701,F,81141700705,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,06:49:02,06:47:00,-2,608640.19,0.61,0.347,,
306,41701,F,81141700705,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,06:49:46,06:49:00,-1,608640.76,0.57,0.507,,
312,41702,F,81141700704,400706,Paradiso- Debarcadero- Mast 6,02.05.2019,06:49:52,06:50:00,0,610908.52,1.63,1.65,,
306,41701,F,81141700705,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,06:50:40,06:52:00,1,608641.53,0.66,0.72,,
312,41702,F,81141700704,401002,Lugano- Piazza Luini- Mast 2,02.05.2019,06:51:20,06:52:30,1,610909.29,0.77,0.769,,
312,41702,F,81141700704,402402,Lugano- Piazza Manzoni- Mast 2,02.05.2019,06:53:02,06:55:00,2,610909.97,0.63,0.604,M. Porte aperte,12
306,41701,F,81141700705,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,06:53:10,06:57:00,4,608643.15,1.72,1.66,,
312,41702,F,81141700704,400105,Lugano- Centro- Mast 5,02.05.2019,06:53:56,06:56:00,2,610910.26,0.32,0.33,,
306,41701,F,81141700706,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:01:24,07:00:00,-1,608643.21,0,0,M. Porte aperte,420
312,41702,F,81141700707,400105,Lugano- Centro- Mast 5,02.05.2019,07:01:40,07:00:00,-2,610910.3,0,0,M. Porte aperte,64
312,41702,F,81141700707,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,07:03:28,07:02:00,-1,610910.91,0.61,0.347,,
306,41701,F,81141700706,400706,Paradiso- Debarcadero- Mast 6,02.05.2019,07:04:08,07:05:00,1,608644.83,1.62,1.65,,
312,41702,F,81141700707,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,07:04:40,07:04:00,-1,610911.5,0.58,0.507,,
306,41701,F,81141700706,401002,Lugano- Piazza Luini- Mast 2,02.05.2019,07:05:12,07:07:30,2,608645.58,0.75,0.769,,
312,41702,F,81141700707,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,07:05:58,07:07:00,1,610912.27,0.68,0.72,,
306,41701,F,81141700706,402402,Lugano- Piazza Manzoni- Mast 2,02.05.2019,07:07:34,07:10:00,2,608646.26,0.63,0.604,M. Porte aperte,12
306,41701,F,81141700706,400105,Lugano- Centro- Mast 5,02.05.2019,07:08:16,07:11:00,3,608646.54,0.31,0.33,,
312,41702,F,81141700707,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:09:54,07:12:00,2,610913.93,1.74,1.66,,
312,41702,F,81141700708,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:15:42,07:15:00,-1,610913.98,0,0,M. Porte aperte,150
306,41701,F,81141700709,400105,Lugano- Centro- Mast 5,02.05.2019,07:16:04,07:15:00,-1,608646.59,0,0,M. Porte aperte,104
306,41701,F,81141700709,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,07:17:30,07:17:00,0,608647.21,0.61,0.347,,
306,41701,F,81141700709,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,07:18:44,07:19:00,0,608647.82,0.61,0.507,M. Porte aperte,10
312,41702,F,81141700708,400706,Paradiso- Debarcadero- Mast 6,02.05.2019,07:19:34,07:20:00,0,610915.62,1.63,1.65,,
306,41701,F,81141700709,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,07:19:58,07:22:00,2,608648.56,0.68,0.72,M. Porte aperte,8
312,41702,F,81141700708,401002,Lugano- Piazza Luini- Mast 2,02.05.2019,07:21:08,07:22:30,1,610916.41,0.79,0.769,M. Porte aperte,14
312,41702,F,81141700708,402402,Lugano- Piazza Manzoni- Mast 2,02.05.2019,07:22:38,07:25:00,2,610917.06,0.6,0.604,M. Porte aperte,16
306,41701,F,81141700709,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:23:04,07:27:00,4,608650.2,1.69,1.66,,
312,41702,F,81141700708,400105,Lugano- Centro- Mast 5,02.05.2019,07:23:32,07:26:00,2,610917.34,0.32,0.33,,
306,41701,F,81141700710,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:31:14,07:30:00,-1,608650.24,0,0,M. Porte aperte,446
312,41702,F,81141700711,400105,Lugano- Centro- Mast 5,02.05.2019,07:32:10,07:30:00,-2,610917.4,0,0,M. Porte aperte,310
312,41702,F,81141700711,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,07:33:48,07:32:00,-2,610918,0.6,0.347,,
306,41701,F,81141700710,400706,Paradiso- Debarcadero- Mast 6,02.05.2019,07:33:48,07:35:00,1,608651.87,1.62,1.65,,
306,41701,F,81141700710,401002,Lugano- Piazza Luini- Mast 2,02.05.2019,07:35:16,07:37:30,2,608652.66,0.79,0.769,M. Porte aperte,10
312,41702,F,81141700711,401001,Lugano- Piazza Luini- Mast 1,02.05.2019,07:35:38,07:34:00,-2,610918.63,0.62,0.507,M. Porte aperte,12
306,41701,F,81141700710,402402,Lugano- Piazza Manzoni- Mast 2,02.05.2019,07:36:44,07:40:00,3,608653.29,0.59,0.604,M. Porte aperte,20
312,41702,F,81141700711,400701,Paradiso- Debarcadero- Mast 1,02.05.2019,07:37:06,07:37:00,0,610919.37,0.64,0.72,,
306,41701,F,81141700710,400105,Lugano- Centro- Mast 5,02.05.2019,07:37:38,07:41:00,3,608653.58,0.32,0.33,,
312,41702,F,81141700711,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:41:08,07:42:00,1,610921.01,1.74,1.66,,
312,41702,F,81141700712,414601,Pazzallo- P&R Fornaci- Mast 1,02.05.2019,07:46:02,07:45:00,-1,610921.07,0,0,M. Porte aperte,178
306,41701,F,81141700713,400105,Lugano- Centro- Mast 5,02.05.2019,07:46:30,07:45:00,-2,608653.65,0,0,M. Porte aperte,170
306,41701,F,81141700713,402401,Lugano- Piazza Manzoni- Mast 1,02.05.2019,07:47:54,07:47:00,-1,608654.25,0.6,0.347,,
