VEICOLO,TURNO,LINEA,CORSA,POSIZIONE,INDIRIZZO,DATA,TRANS.REALE,TRANS.PROGRAMMATO,SCOST.,KM,TRATTA REALE [KM],TRATTA PROGR. [KM],EVENTO,DURATA
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,06:32:40,06:30:00,-3,394257.99,0,,,
105,40801,8,81140800801,420101,Pambio- S. Pietro Chiesa- Mast 1,01.07.2019,06:33:46,06:31:30,-2,394258.51,0.52,0.431,,
105,40801,8,81140800801,420201,Pambio- Paese- Mast 1,01.07.2019,06:35:42,06:34:30,-1,394259.13,0.61,0.625,,
105,40801,8,81140800801,420301,Noranco- Asilo Bagion- Mast 1,01.07.2019,06:36:48,06:36:30,0,394259.49,0.35,0.39,,
105,40801,8,81140800801,420401,Noranco- Paese- Mast 1,01.07.2019,06:38:40,06:37:30,-1,394260.09,0.6,0.568,,
105,40801,8,81140800801,421201,Scairolo- Posteggio Nucleo- Mast 1,01.07.2019,06:41:12,06:40:30,-1,394261.27,1.06,0.668,,
105,40801,8,81140800801,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,06:43:12,06:43:30,0,394262.32,1.16,1.31,,
105,40801,8,81140800851,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,06:48:00,06:45:00,-3,394262.32,0,0,,
105,40801,8,81140800851,421001,Pazzallo- Senago Bassa- Mast 1,01.07.2019,06:49:54,06:47:00,-3,394263.03,0.71,0.754,,
105,40801,8,81140800851,420601,Pazzallo- Senago- Mast 1,01.07.2019,06:50:46,06:48:00,-3,394263.55,0.4,0.406,,
105,40801,8,81140800851,420701,Pazzallo- Scuole Fano- Mast 1,01.07.2019,06:51:14,06:48:30,-3,394263.72,0.28,0.17,,
105,40801,8,81140800852,420701,Pazzallo- Scuole Fano- Mast 1,01.07.2019,06:52:14,06:52:00,0,394263.72,0,0,,
105,40801,8,81140800852,420602,Pazzallo- Senago- Mast 2,01.07.2019,06:52:52,06:52:30,0,394263.99,0.27,0.256,,
105,40801,8,81140800852,421002,Pazzallo- Senago Bassa- Mast 2,01.07.2019,06:53:40,06:53:30,0,394264.45,0.38,0.256,,
105,40801,8,81140800852,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,06:54:30,06:55:00,0,394264.72,0.34,0.517,,
105,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,07:02:34,07:00:00,-3,394264.72,0,0,,
105,40801,8,81140800803,420101,Pambio- S. Pietro Chiesa- Mast 1,01.07.2019,07:03:28,07:01:30,-2,394265.24,0.52,0.431,,
105,40801,8,81140800803,420201,Pambio- Paese- Mast 1,01.07.2019,07:05:24,07:04:30,-1,394265.87,0.62,0.625,,
105,40801,8,81140800803,420301,Noranco- Asilo Bagion- Mast 1,01.07.2019,07:06:30,07:06:30,0,394266.22,0.35,0.39,,
105,40801,8,81140800803,420401,Noranco- Paese- Mast 1,01.07.2019,07:08:32,07:07:30,-1,394266.83,0.6,0.568,,
105,40801,8,81140800803,421201,Scairolo- Posteggio Nucleo- Mast 1,01.07.2019,07:10:56,07:10:30,0,394267.99,1.06,0.668,,
105,40801,8,81140800803,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,07:13:12,07:13:30,0,394269.05,1.16,1.31,,
105,40801,8,81140800853,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,07:17:44,07:15:00,-3,394269.05,0,0,,
105,40801,8,81140800853,421001,Pazzallo- Senago Bassa- Mast 1,01.07.2019,07:19:44,07:17:00,-3,394269.76,0.7,0.754,,
105,40801,8,81140800853,420601,Pazzallo- Senago- Mast 1,01.07.2019,07:20:34,07:18:00,-3,394270.27,0.41,0.406,,
105,40801,8,81140800853,420701,Pazzallo- Scuole Fano- Mast 1,01.07.2019,07:21:00,07:18:30,-3,394270.45,0.27,0.17,,
105,40801,8,81140800854,420701,Pazzallo- Scuole Fano- Mast 1,01.07.2019,07:22:26,07:22:00,0,394270.45,0,0,,
105,40801,8,81140800854,420602,Pazzallo- Senago- Mast 2,01.07.2019,07:22:58,07:22:30,0,394270.72,0.27,0.256,,
105,40801,8,81140800854,421002,Pazzallo- Senago Bassa- Mast 2,01.07.2019,07:23:42,07:23:30,0,394271.17,0.38,0.256,,
105,40801,8,81140800854,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,07:24:26,07:25:00,1,394271.45,0.34,0.517,,
105,40801,8,81140800805,414601,Pazzallo- P&R Fornaci- Mast 1,01.07.2019,07:32:38,07:30:00,-3,394271.44,0,0,,
105,40801,8,81140800805,420101,Pambio- S. Pietro Chiesa- Mast 1,01.07.2019,07:33:32,07:31:30,-2,394271.98,0.54,0.431,,
105,40801,8,81140800805,420201,Pambio- Paese- Mast 1,01.07.2019,07:35:24,07:34:30,-1,394272.59,0.61,0.625,,
105,40801,8,81140800805,420301,Noranco- Asilo Bagion- Mast 1,01.07.2019,07:37:28,07:36:30,-1,394272.95,0.36,0.39,,
